,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522831975979,1,2,2,520.0,202.0
1,1522831975985,1,3,2,520.0,202.0
2,1522831977323,1,4,2,,
3,1522831977494,1,5,2,,
4,1522831977936,1,4,2,,
5,1522831978069,1,5,2,,
6,1522831978139,1,4,2,,
7,1522831978290,1,5,2,,
8,1522831978436,1,4,2,,
9,1522831978533,1,5,2,,
10,1522831978605,1,4,2,,
11,1522831978613,1,4,2,,
12,1522831978666,1,5,2,,
13,1522831978770,1,5,2,,
14,1522831978807,1,4,2,,
15,1522831978876,1,4,2,,
16,1522831978936,1,5,2,,
17,1522831979001,1,5,2,,
18,1522831979117,1,4,2,,
19,1522831979181,1,4,2,,
20,1522831979259,1,5,2,,
21,1522831979275,1,5,2,,
22,1522831980409,2,2,2,487.0,260.0
23,1522831980414,2,3,2,487.0,260.0
24,1522831980813,2,4,2,,
25,1522831980959,2,5,2,,
26,1522831981033,2,4,2,,
27,1522831981177,2,4,2,,
28,1522831981219,2,5,2,,
29,1522831981278,2,5,2,,
30,1522831981301,2,4,2,,
31,1522831981337,2,4,2,,
32,1522831981362,2,4,2,,
33,1522831981376,2,5,2,,
34,1522831981397,2,4,2,,
35,1522831981403,2,5,2,,
36,1522831981443,2,5,2,,
37,1522831981629,2,4,2,,
38,1522831981632,2,5,2,,
39,1522831981755,2,5,2,,
40,1522831982734,3,2,2,470.0,280.0
41,1522831982742,3,3,2,470.0,280.0
42,1522831983080,3,4,2,,
43,1522831983124,3,4,2,,
44,1522831983180,3,4,2,,
45,1522831983204,3,4,2,,
46,1522831983220,3,4,2,,
47,1522831983243,3,5,2,,
48,1522831983279,3,5,2,,
49,1522831983320,3,4,2,,
50,1522831983348,3,5,2,,
51,1522831983348,3,5,2,,
52,1522831983447,3,4,2,,
53,1522831983472,3,5,2,,
54,1522831983488,3,4,2,,
55,1522831983497,3,5,2,,
56,1522831983520,3,4,2,,
57,1522831983600,3,5,2,,
58,1522831983616,3,5,2,,
59,1522831983671,3,5,2,,
60,1522831984584,4,2,2,467.0,355.0
61,1522831984592,4,3,2,467.0,355.0
62,1522831985162,4,4,2,,
63,1522831985346,4,4,2,,
64,1522831985462,4,5,2,,
65,1522831985522,4,4,2,,
66,1522831985574,4,5,2,,
67,1522831985586,4,4,2,,
68,1522831985598,4,4,2,,
69,1522831985627,4,5,2,,
70,1522831985733,4,5,2,,
71,1522831985750,4,5,2,,
72,1522831986775,5,2,2,409.0,378.0
73,1522831986781,5,3,2,409.0,378.0
74,1522831987415,6,2,7,584.0,449.0
75,1522831987422,6,3,7,584.0,449.0
