,Time,Xpath_id,event_type,control_type
0,1522830789466,1,4,2
1,1522830789746,1,4,2
2,1522830789776,1,5,2
3,1522830789990,1,4,2
4,1522830790002,1,5,2
5,1522830790217,1,4,2
6,1522830790239,1,5,2
7,1522830790372,1,5,2
8,1522830791189,2,4,2
9,1522830791337,2,4,2
10,1522830791350,2,5,2
11,1522830791505,2,5,2
12,1522830791516,2,4,2
13,1522830791692,2,4,2
14,1522830791709,2,5,2
15,1522830791825,2,5,2
16,1522830792669,3,4,2
17,1522830792911,3,5,2
18,1522830792976,3,4,2
19,1522830793156,3,5,2
20,1522830793172,3,4,2
21,1522830793378,3,5,2
22,1522830793536,3,4,2
23,1522830793621,3,4,2
24,1522830793683,3,5,2
25,1522830793865,3,4,2
26,1522830793873,3,5,2
27,1522830794036,3,5,2
28,1522830795220,4,4,2
29,1522830795432,4,4,2
30,1522830795446,4,5,2
31,1522830795648,4,4,2
32,1522830795836,4,4,2
33,1522830795854,4,5,2
34,1522830795898,4,5,2
35,1522830796068,4,4,2
36,1522830796075,4,5,2
37,1522830796244,4,4,2
38,1522830796267,4,5,2
39,1522830796346,4,5,2
