,Time,Xpath_id,event_type,control_type
0,1522830831006,1,4,2
1,1522830831098,1,5,2
2,1522830831195,1,4,2
3,1522830831300,1,5,2
4,1522830831578,1,4,2
5,1522830831660,1,5,2
6,1522830831741,1,4,2
7,1522830831768,1,4,2
8,1522830831823,1,5,2
9,1522830831902,1,5,2
10,1522830831960,1,4,2
11,1522830832025,1,4,2
12,1522830832077,1,5,2
13,1522830832150,1,5,2
14,1522830832554,1,4,2
15,1522830832650,1,4,2
16,1522830832679,1,5,2
17,1522830832745,1,5,2
18,1522830833455,1,4,2
19,1522830833562,2,5,2
20,1522830834621,2,4,2
21,1522830834743,2,5,2
22,1522830835507,2,4,2
23,1522830835605,2,5,2
24,1522830835806,2,4,2
25,1522830835980,2,5,2
26,1522830836270,2,4,2
27,1522830836364,2,5,2
28,1522830836643,2,4,2
29,1522830836735,2,4,2
30,1522830836804,2,4,2
31,1522830836812,2,5,2
32,1522830836814,2,5,2
33,1522830836919,2,4,2
34,1522830836952,2,5,2
35,1522830837125,2,5,2
36,1522830837263,2,4,2
37,1522830837445,2,5,2
38,1522830837464,2,4,2
39,1522830837595,2,4,2
40,1522830837605,2,5,2
41,1522830837755,2,5,2
42,1522830837783,2,4,2
43,1522830837829,2,5,2
44,1522830839681,3,4,2
45,1522830839917,3,4,2
46,1522830839947,3,5,2
47,1522830840134,3,4,2
48,1522830840141,3,5,2
49,1522830840149,3,4,2
50,1522830840291,3,5,2
51,1522830840297,3,4,2
52,1522830840323,3,5,2
53,1522830840451,3,5,2
54,1522830840471,3,4,2
55,1522830840495,3,4,2
56,1522830840619,3,4,2
57,1522830840626,3,5,2
58,1522830840642,3,5,2
59,1522830840770,3,5,2
60,1522830840790,3,4,2
61,1522830840814,3,4,2
62,1522830840943,3,5,2
63,1522830840964,3,5,2
64,1522830841493,4,4,2
65,1522830841670,4,4,2
66,1522830841711,4,5,2
67,1522830841761,4,4,2
68,1522830841777,4,5,2
69,1522830841903,4,5,2
70,1522830841934,4,4,2
71,1522830842046,4,4,2
72,1522830842064,4,5,2
73,1522830842196,4,5,2
74,1522830842244,4,4,2
75,1522830842336,4,4,2
76,1522830842358,4,5,2
77,1522830842478,4,5,2
78,1522830842504,4,4,2
79,1522830842584,4,4,2
80,1522830842620,4,4,2
81,1522830842634,4,5,2
82,1522830842637,4,5,2
83,1522830842766,4,5,2
