time,Acc_x,Acc_y,Acc_z,id,scenario,behavior,class
1509149376512.0,-0.009576806798577309,-0.2777273952960968,9.768342971801758,0,1,1,4
1509149376512.0,0.10534487664699554,-0.28730419278144836,9.710882186889648,0,1,1,4
1509149376512.0,0.1628057211637497,-0.26815059781074524,9.730035781860352,0,1,1,4
1509149376512.0,0.20111294090747833,-0.35434186458587646,9.720458984375,0,1,1,4
1509149376512.0,0.08619125932455063,-0.33518823981285095,9.797073364257812,0,1,1,4
1509149376512.0,0.05746084079146385,-0.31603461503982544,9.787496566772461,0,1,1,4
1509149376512.0,0.07661445438861847,-0.2968810200691223,9.730035781860352,0,1,1,4
1509149376512.0,0.1149216815829277,-0.2968810200691223,9.749189376831055,0,1,1,4
1509149376512.0,0.12449848651885986,-0.2968810200691223,9.739612579345703,0,1,1,4
1509149376512.0,0.08619125932455063,-0.31603461503982544,9.730035781860352,0,1,1,4
1509149376512.0,0.12449848651885986,-0.2968810200691223,9.710882186889648,0,1,1,4
1509149376512.0,0.15322890877723694,-0.2968810200691223,9.710882186889648,0,1,1,4
1509149376512.0,0.10534487664699554,-0.28730419278144836,9.816226959228516,0,1,1,4
1509149376512.0,0.05746084079146385,-0.3064578175544739,9.816226959228516,0,1,1,4
1509149376512.0,0.13407529890537262,-0.2968810200691223,9.816226959228516,0,1,1,4
1509149376512.0,0.22026655077934265,-0.31603461503982544,9.691728591918945,0,1,1,4
1509149376512.0,0.2585737705230713,-0.2777273952960968,9.672574996948242,0,1,1,4
1509149376512.0,0.1628057211637497,-0.23942017555236816,9.739612579345703,0,1,1,4
1509149376512.0,0.1628057211637497,-0.2777273952960968,9.77791976928711,0,1,1,4
1509149376512.0,0.20111294090747833,-0.2968810200691223,9.758766174316406,0,1,1,4
1509149376512.0,0.2106897532939911,-0.2777273952960968,9.701305389404297,0,1,1,4
1509149376512.0,0.1149216815829277,-0.22026655077934265,9.758766174316406,0,1,1,4
1509149376512.0,0.08619125932455063,-0.22026655077934265,9.825803756713867,0,1,1,4
1509149376512.0,0.17238251864910126,-0.2777273952960968,9.768342971801758,0,1,1,4
1509149376512.0,0.24899697303771973,-0.2585737705230713,9.720458984375,0,1,1,4
1509149376512.0,0.22026655077934265,-0.23942017555236816,9.720458984375,0,1,1,4
1509149376512.0,0.17238251864910126,-0.24899697303771973,9.720458984375,0,1,1,4
1509149376512.0,0.17238251864910126,-0.24899697303771973,9.739612579345703,0,1,1,4
1509149376512.0,0.19153612852096558,-0.20111294090747833,9.768342971801758,0,1,1,4
1509149376512.0,0.22026655077934265,-0.2298433631658554,9.835380554199219,0,1,1,4
1509149376512.0,0.23942017555236816,-0.2106897532939911,9.854534149169922,0,1,1,4
1509149376512.0,0.23942017555236816,-0.24899697303771973,9.77791976928711,0,1,1,4
