,Time_Acc,Acc_x,Acc_y,Acc_z,Time_Gra,Gra_x,Gra_y,Gra_z,Time_Gyr,Gyr_x,Gyr_y,Gyr_z,Time_Light,Light,Time_LAcc,LAcc_x,LAcc_y,LAcc_z,Time_Mag,Mag_x,Mag_y,Mag_z,Time_Pres,Pres,Time_Prox,Prox,Time_ReHum,ReHum,Time_Rov,Rov_w,Rov_x,Rov_y,Rov_z,Time_SteCou,SteCou,Time_TSD,TSD_value,scenario,behavior
0,1509087248384.0,-1.7812861204147339,4.1180267333984375,8.772355079650879,1509087248384.0,-1.920469045639038,4.2223076820373535,8.648920059204102,0.0,0.0,0.0,0.0,1509087248384.0,17.0,1509087248384.0,-0.13620346784591675,0.108962781727314,-0.3677493631839752,1509087248384.0,-8.760000228881836,-36.18000030517578,-7.139999866485596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1509087248384.0,-2.049436569213867,4.357447147369385,8.111555099487305,1509087248384.0,-1.920469045639038,4.2223076820373535,8.648920059204102,0.0,0.0,0.0,0.0,1509087248384.0,19.0,1509087248384.0,0.14982382953166962,-0.108962781727314,0.12258312106132507,1509087248384.0,-8.579999923706055,-36.41999816894531,-6.960000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1509087248384.0,-1.9249382019042969,4.242525577545166,8.494627952575684,1509087248384.0,-1.920469045639038,4.235928058624268,8.648920059204102,0.0,0.0,0.0,0.0,1509087248384.0,17.0,1509087248384.0,-0.12258312106132507,0.12258312106132507,-0.544813871383667,1509087248384.0,-8.9399995803833,-36.47999954223633,-7.019999980926514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1509087248384.0,-2.0207061767578125,4.347870349884033,8.322244644165039,1509087248384.0,-1.920469045639038,4.235928058624268,8.635299682617188,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.0,0.0,-0.13620346784591675,1509087248384.0,-8.579999923706055,-36.36000061035156,-6.659999847412109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1509087248384.0,-1.9153614044189453,4.271255970001221,8.5903959274292,1509087248384.0,-1.9340893030166626,4.263168811798096,8.635299682617188,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,-0.08172208815813065,0.08172208815813065,-0.3132679760456085,1509087248384.0,-8.399999618530273,-36.599998474121094,-6.659999847412109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,1509087248384.0,-1.9057846069335938,4.213795185089111,8.695740699768066,1509087248384.0,-1.9477096796035767,4.263168811798096,8.621679306030273,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.04086104407906532,0.0,-0.0272406954318285,1509087248384.0,-8.220000267028809,-36.71999740600586,-6.779999732971191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,1509087248384.0,-2.0877439975738525,4.424484729766846,7.671022415161133,1509087248384.0,-1.9477096796035767,4.27678918838501,8.621679306030273,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.04086104407906532,-0.06810173392295837,0.06810173392295837,1509087248384.0,-7.739999771118164,-36.84000015258789,-6.71999979019165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,1509087248384.0,-1.886630892753601,4.2329487800598145,7.833827972412109,1509087248384.0,-1.9749503135681152,4.30402946472168,8.594438552856445,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,-0.108962781727314,0.12258312106132507,-0.9261836409568787,1509087248384.0,-8.220000267028809,-37.13999938964844,-6.899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,1509087248384.0,-1.7812861204147339,4.137180328369141,8.14028549194336,1509087248384.0,-1.9749503135681152,4.317649841308594,8.594438552856445,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.09534243494272232,-0.09534243494272232,-0.7627394795417786,1509087248384.0,-7.859999656677246,-37.31999969482422,-6.480000019073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,1509087248384.0,-1.580173134803772,3.8498764038085938,9.241618156433105,1509087248384.0,-1.9885706901550293,4.331270217895508,8.580819129943848,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.217925563454628,-0.20430520176887512,-0.435851126909256,1509087248384.0,-7.5,-36.71999740600586,-5.87999963760376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
