ACCtime_mean,ACCtime_std,ACCtime_max,ACCtime_min,ACCtime_range,ACCtime_average_deviaton,ACCtime_skew,ACCtime_kurt,ACCtime_rms,ACCfreq_dc,ACCfreq_shape_mean,ACCfreq_shape_std2,ACCfreq_shape_std,ACCfreq_skew,ACCfreq_shape_kurt,ACCfreq_mean,ACCfreq_var,ACCfreq_std,ACCfreq_skew,ACCfreq_kurt,Gyrtime_mean,Gyrtime_std,Gyrtime_max,Gyrtime_min,Gyrtime_range,Gyrtime_average_deviaton,Gyrtime_skew,Gyrtime_kurt,Gyrtime_rms,Gyrfreq_dc,Gyrfreq_shape_mean,Gyrfreq_shape_std2,Gyrfreq_shape_std,Gyrfreq_skew,Gyrfreq_shape_kurt,Gyrfreq_mean,Gyrfreq_var,Gyrfreq_std,Gyrfreq_skew,Gyrfreq_kurt,scenario,behavior,class
93.93707987018121,6.704480880961499,109.7098564132736,80.09986420769944,29.60999220557416,-7.815970093361102e-13,0.23937221875872242,-0.26504533522864904,665.9251098441918,4696.853993509059,13.629537040639779,46.10118860779899,6.789785608382564,-118.79065387604827,4618.952734103201,42.732914803264585,439.90828789377633,20.97399074791863,0.1443162291042065,-1.2820977007665721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
176.01313413622324,102.97905368330214,451.8671780987642,32.992592624854296,418.8745854739099,-7.247535904753022e-13,0.9213644735661457,-0.01195060183861596,1441.9658263281508,8800.656706811162,13.795894041926285,59.28878479013027,7.699921089863861,-114.9431656394652,5357.58670696074,593.654494568232,180214.02577424824,424.5162255724135,1.5335170785885197,1.8387185908542296,8.746620104480535,9.793904858163536,39.30422983155586,0.0637912645470351,39.24043856700882,-6.039613253960852e-14,1.7314547681776322,2.522111052674229,92.8504000052941,437.33100522402674,9.517831519054601,53.229483834936794,7.295853879768755,190.73712490114994,5403.3160889881465,58.363504465638144,1400.292107594004,37.4204771160658,1.393685214599563,1.6271754680957686,1.0,1.0,4.0
157.94680917189922,84.96524018465558,437.3067196670453,51.51862274715678,385.7880969198885,-8.526512829121202e-14,1.0572388922625804,0.8409380719559376,1268.1933324067857,7897.340458594961,13.438108061371436,66.27851850134785,8.141161987170372,-102.76216280932954,6463.762537556757,535.4504718806877,107821.13207696672,328.3612828531505,1.0012201583640021,0.17728971512656982,7.193231092202478,6.129343668658262,28.438105470966555,0.1311344369314611,28.306971034035094,-2.4868995751603507e-14,1.3920257222825427,2.5956010930662714,66.82493073484983,359.66155461012386,10.242110909836082,43.57318932733737,6.60099911584128,106.9139707419184,3878.0679215839796,35.88247430798545,592.9811240659383,24.35120374983418,2.247793014962818,6.751477935622066,1.0,1.0,4.0
95.23396102562252,32.080601486761296,161.0011200974251,34.997153475076004,126.00396662234908,1.7408297026122455e-12,0.44998178525055366,-0.6298280689735862,710.5868111772899,4761.698051281128,14.36440159496153,34.225767846498634,5.850279296452318,-81.46862958568417,3106.6333143964503,144.74240762271128,30604.120920769776,174.94033531684389,3.2614086900733894,11.375759851996648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
91.52998824666842,4.32758911402109,102.48021081036144,80.18671768897661,22.293493121384827,1.1937117960769683e-12,0.1939235129419283,1.1324051507699897,647.9377584295831,4576.499412333423,13.484725240760115,56.12476180900421,7.491646134796024,-132.27368781201326,5975.726596705328,28.24120127139434,181.67726502220125,13.478770901762566,0.0951522677909814,-1.098575521414452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
92.94479980250641,6.553898067787971,106.66645871631351,79.06375439176998,27.602704324543538,-6.536993168992922e-13,0.09964084677460708,-0.5229336860287108,658.850870463527,4647.239990125319,13.830385138707115,50.52376063653979,7.108006797727461,-90.26489348355922,4948.458187522709,43.10586793030396,371.74727586205086,19.280748840801046,0.7200105828203711,0.08878646690731688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
93.03753293602266,7.54001475842223,111.8258029953212,79.22975870318841,32.59604429213279,-2.7142732506035827e-12,0.3581652824435232,-0.3105289778665945,660.031603689502,4651.876646801131,13.68505235200763,44.36871674699201,6.660984667974549,-88.24585267527391,3837.1067940620237,47.33127514788741,671.6297331475673,25.915820132644217,1.309999852073376,1.755916514235678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
92.99959816731742,6.4889835507882,109.59034426007496,83.07968719400384,26.51065706607112,-2.7000623958883807e-13,0.7224151035462191,0.07692299889970355,659.2052854310601,4649.979908365871,14.185069814975021,65.24136524360976,8.077212715015605,-224.19740187170524,7236.890787643914,41.51173992656466,666.5686905596981,25.81799160584917,1.2299016401856881,1.4612929960954546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
92.21705433696681,7.962613088548044,112.56337690303171,75.56646794182308,36.99690896120863,2.8421709430404007e-13,0.47843768054464764,0.16952595395860293,654.4993627875052,4610.8527168483415,14.5607505246098,55.69730064988085,7.463062417659446,-156.75624869377685,5640.949019763734,50.955826228351235,898.1441125199382,29.9690525796185,0.6664545058267203,-0.005301051290848591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
92.430055097894,8.22809241311994,112.23613692850931,74.5626437961389,37.67349313237041,-3.836930773104541e-13,0.5290386364826499,0.05576219917820069,656.1637215725417,4621.5027548947,14.61673980409993,62.56800498849052,7.909993994213303,-138.14235407022022,6117.001942596645,49.71329071963496,1797.6349147264152,42.39852491215249,2.0637699862535577,5.5462751448659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
