,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522831893140,1,2,2,454.0,204.0
1,1522831893146,1,3,2,454.0,204.0
2,1522831893959,1,4,2,,
3,1522831894054,1,5,2,,
4,1522831894178,1,4,2,,
5,1522831894290,1,4,2,,
6,1522831894339,1,5,2,,
7,1522831894531,1,4,2,,
8,1522831894550,1,5,2,,
9,1522831894687,1,5,2,,
10,1522831894989,1,4,2,,
11,1522831895185,1,5,2,,
12,1522831895227,1,4,2,,
13,1522831895242,1,4,2,,
14,1522831895395,1,5,2,,
15,1522831895398,1,5,2,,
16,1522831895737,2,2,2,499.0,246.0
17,1522831895745,2,3,2,499.0,246.0
18,1522831895801,2,4,2,,
19,1522831895933,2,4,2,,
20,1522831896073,2,5,2,,
21,1522831896113,2,4,2,,
22,1522831896137,2,5,2,,
23,1522831896321,2,4,2,,
24,1522831896322,2,5,2,,
25,1522831896361,2,4,2,,
26,1522831896497,2,4,2,,
27,1522831896505,2,5,2,,
28,1522831896540,2,5,2,,
29,1522831896688,2,5,2,,
30,1522831896716,2,4,2,,
31,1522831896723,2,4,2,,
32,1522831896843,2,4,2,,
33,1522831896868,2,5,2,,
34,1522831896899,2,5,2,,
35,1522831896995,2,5,2,,
36,1522831897296,3,2,7,557.0,316.0
37,1522831897302,3,3,7,557.0,316.0
