,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522830876274,1,2,2,231.0,214.0
1,1522830876280,1,3,2,231.0,214.0
2,1522830879345,1,4,2,,
3,1522830879358,1,4,2,,
4,1522830879613,1,4,2,,
5,1522830879613,1,5,2,,
6,1522830879618,1,4,2,,
7,1522830879639,1,5,2,,
8,1522830879839,1,5,2,,
9,1522830879938,1,5,2,,
10,1522830879963,1,4,2,,
11,1522830880079,1,4,2,,
12,1522830880136,1,5,2,,
13,1522830880182,1,4,2,,
14,1522830880225,1,4,2,,
15,1522830880284,1,5,2,,
16,1522830880359,1,4,2,,
17,1522830880380,1,5,2,,
18,1522830880428,1,5,2,,
19,1522830880454,1,4,2,,
20,1522830880490,1,4,2,,
21,1522830880571,1,4,2,,
22,1522830880580,1,4,2,,
23,1522830880599,1,5,2,,
24,1522830880620,1,5,2,,
25,1522830880632,1,5,2,,
26,1522830880696,1,5,2,,
27,1522830880760,1,5,2,,
28,1522830882188,2,2,2,108.0,295.0
29,1522830882193,2,3,2,108.0,295.0
30,1522830883418,2,4,2,,
31,1522830883458,2,4,2,,
32,1522830883522,2,4,2,,
33,1522830883550,2,4,2,,
34,1522830883577,2,5,2,,
35,1522830883614,2,5,2,,
36,1522830883698,2,4,2,,
37,1522830883714,2,4,2,,
38,1522830883729,2,5,2,,
39,1522830883807,2,4,2,,
40,1522830883807,2,5,2,,
41,1522830883890,2,4,2,,
42,1522830883898,2,4,2,,
43,1522830883912,2,5,2,,
44,1522830883949,2,5,2,,
45,1522830883978,2,4,2,,
46,1522830884022,2,5,2,,
47,1522830884094,2,5,2,,
48,1522830884146,2,4,2,,
49,1522830884186,2,5,2,,
50,1522830884227,2,4,2,,
51,1522830884234,2,5,2,,
52,1522830884258,2,5,2,,
53,1522830884394,2,5,2,,
54,1522830884394,2,4,2,,
55,1522830884554,2,5,2,,
56,1522830885826,3,2,7,256.0,403.0
57,1522830885832,3,3,7,256.0,403.0
