Time,event_type,op_x,op_y,Action,correct_x,correct_y,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1516606699556,2,52,450,-,311.5,300.875,27.5,423.875,63.5,459.875,1516606695109.0,0.0,,1.0,1.0
1516606699583,1,65,451,-,,,,,,,,,,,
1516606699595,1,83,451,-,,,,,,,,,,,
1516606699602,1,91,451,-,,,,,,,,,,,
1516606699620,1,99,451,-,,,,,,,,,,,
1516606699635,1,108,451,-,,,,,,,,,,,
1516606699651,1,116,450,-,,,,,,,,,,,
1516606699669,1,124,449,-,,,,,,,,,,,
1516606699684,1,133,448,-,,,,,,,,,,,
1516606699701,1,141,447,-,,,,,,,,,,,
1516606699718,1,148,447,-,,,,,,,,,,,
1516606699734,1,155,446,-,,,,,,,,,,,
1516606699751,1,162,445,-,,,,,,,,,,,
1516606699768,1,169,444,-,,,,,,,,,,,
1516606699785,1,175,442,-,,,,,,,,,,,
1516606699802,1,181,441,-,,,,,,,,,,,
1516606699818,1,187,441,-,,,,,,,,,,,
1516606699836,1,192,440,-,,,,,,,,,,,
1516606699851,1,196,439,-,,,,,,,,,,,
1516606699870,1,201,439,-,,,,,,,,,,,
1516606699885,1,205,439,-,,,,,,,,,,,
1516606699902,1,208,439,-,,,,,,,,,,,
1516606699918,1,211,439,-,,,,,,,,,,,
1516606699935,1,214,439,-,,,,,,,,,,,
1516606699954,1,216,439,-,,,,,,,,,,,
1516606699969,1,219,439,-,,,,,,,,,,,
1516606699986,1,221,439,-,,,,,,,,,,,
1516606700003,1,224,439,-,,,,,,,,,,,
1516606700018,1,226,439,-,,,,,,,,,,,
1516606700035,1,229,439,-,,,,,,,,,,,
1516606700053,1,231,439,-,,,,,,,,,,,
1516606700068,1,234,439,-,,,,,,,,,,,
1516606700087,1,236,439,-,,,,,,,,,,,
1516606700102,1,239,439,-,,,,,,,,,,,
1516606700118,1,242,439,-,,,,,,,,,,,
1516606700135,1,245,439,-,,,,,,,,,,,
1516606700152,1,248,439,-,,,,,,,,,,,
1516606700168,1,251,439,-,,,,,,,,,,,
1516606700185,1,253,439,-,,,,,,,,,,,
1516606700202,1,256,439,-,,,,,,,,,,,
1516606700219,1,259,439,-,,,,,,,,,,,
1516606700235,1,261,439,-,,,,,,,,,,,
1516606700252,1,264,439,-,,,,,,,,,,,
1516606700271,1,266,439,-,,,,,,,,,,,
1516606700287,1,268,439,-,,,,,,,,,,,
1516606700301,1,270,440,-,,,,,,,,,,,
1516606700318,1,272,440,-,,,,,,,,,,,
1516606700334,1,273,440,-,,,,,,,,,,,
1516606700350,1,274,440,-,,,,,,,,,,,
1516606700366,1,276,440,-,,,,,,,,,,,
1516606700383,1,277,441,-,,,,,,,,,,,
1516606700400,1,278,441,-,,,,,,,,,,,
1516606700417,1,279,441,-,,,,,,,,,,,
1516606700434,1,280,441,-,,,,,,,,,,,
1516606700451,1,281,441,-,,,,,,,,,,,
1516606700468,1,282,442,-,,,,,,,,,,,
1516606700484,1,283,442,-,,,,,,,,,,,
1516606700517,1,284,442,-,,,,,,,,,,,
1516606700550,1,285,442,-,,,,,,,,,,,
1516606700637,1,286,442,-,,,,,,,,,,,
1516606700719,1,287,442,-,,,,,,,,,,,
1516606700769,1,288,442,-,,,,,,,,,,,
1516606700802,1,289,442,-,,,,,,,,,,,
1516606700835,1,290,442,-,,,,,,,,,,,
1516606700886,1,291,442,-,,,,,,,,,,,
1516606701054,1,292,442,-,,,,,,,,,,,
1516606701428,3,292,442,13,,,,,,,,,,,
