Time,event_type,op_x,op_y,Action,correct_x,correct_y,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,Session_Id,Bot,scenario,terminal
1515397085022,0,0,0,-,221.5,345.875,26.5,415.875,62.5,451.875,1515397084813,0,1,1
1515397085221,0,0,0,-,,,,,,,,,,
1515397085422,0,0,0,-,,,,,,,,,,
1515397085622,0,0,0,-,,,,,,,,,,
1515397085821,0,0,0,-,,,,,,,,,,
1515397086021,0,0,0,-,,,,,,,,,,
1515397086221,0,0,0,-,,,,,,,,,,
1515397086422,0,0,0,-,,,,,,,,,,
1515397086619,0,0,0,-,,,,,,,,,,
1515397086823,0,0,0,-,,,,,,,,,,
1515397087023,0,0,0,-,,,,,,,,,,
1515397087207,2,79.22100067138672,387.01300048828125,-,,,,,,,,,,
1515397087212,3,79.22100067138672,387.01300048828125,10,,,,,,,,,,
1515397087419,0,0,0,-,,,,,,,,,,
1515397087619,0,0,0,-,,,,,,,,,,
1515397087819,0,0,0,-,,,,,,,,,,
1515397088019,0,0,0,-,,,,,,,,,,
1515397088219,0,0,0,-,,,,,,,,,,
1515397088419,0,0,0,-,,,,,,,,,,
1515397088573,2,49.35100173950195,435.06500244140625,-,,,,,,,,,,
1515397088807,1,64.93499755859375,435.06500244140625,-,,,,,,,,,,
1515397088823,1,71.42900085449219,435.06500244140625,-,,,,,,,,,,
1515397088839,1,75.32499694824219,435.06500244140625,-,,,,,,,,,,
1515397088856,1,80.51899719238281,435.06500244140625,-,,,,,,,,,,
1515397088874,1,83.11699676513672,435.06500244140625,-,,,,,,,,,,
1515397088890,1,87.01300048828125,435.06500244140625,-,,,,,,,,,,
1515397088907,1,89.61000061035156,435.06500244140625,-,,,,,,,,,,
1515397088923,1,93.50599670410156,435.06500244140625,-,,,,,,,,,,
1515397088940,1,96.10399627685547,435.06500244140625,-,,,,,,,,,,
1515397088957,1,102.59700012207031,433.7659912109375,-,,,,,,,,,,
1515397088973,1,106.49400329589844,433.7659912109375,-,,,,,,,,,,
1515397088991,1,111.68800354003906,431.16900634765625,-,,,,,,,,,,
1515397089006,1,115.58399963378906,429.8699951171875,-,,,,,,,,,,
1515397089023,1,120.77899932861328,428.5710144042969,-,,,,,,,,,,
1515397089040,1,124.67500305175781,427.27301025390625,-,,,,,,,,,,
1515397089056,1,131.16900634765625,427.27301025390625,-,,,,,,,,,,
1515397089072,1,136.36399841308594,425.9739990234375,-,,,,,,,,,,
1515397089091,1,141.55799865722656,425.9739990234375,-,,,,,,,,,,
1515397089107,1,146.7530059814453,424.67498779296875,-,,,,,,,,,,
1515397089123,1,150.6490020751953,424.67498779296875,-,,,,,,,,,,
1515397089140,1,153.2469940185547,424.67498779296875,-,,,,,,,,,,
1515397089156,1,157.14300537109375,424.67498779296875,-,,,,,,,,,,
1515397089173,1,159.74000549316406,424.67498779296875,-,,,,,,,,,,
1515397089190,1,162.33799743652344,424.67498779296875,-,,,,,,,,,,
1515397089206,1,164.93499755859375,424.67498779296875,-,,,,,,,,,,
1515397089223,1,167.53199768066406,424.67498779296875,-,,,,,,,,,,
1515397089240,1,170.1300048828125,424.67498779296875,-,,,,,,,,,,
1515397089256,1,171.4290008544922,424.67498779296875,-,,,,,,,,,,
1515397089273,1,174.0260009765625,424.67498779296875,-,,,,,,,,,,
1515397089290,1,175.3249969482422,424.67498779296875,-,,,,,,,,,,
1515397089307,1,176.6230010986328,424.67498779296875,-,,,,,,,,,,
1515397089340,1,177.9219970703125,424.67498779296875,-,,,,,,,,,,
1515397089357,1,179.2209930419922,424.67498779296875,-,,,,,,,,,,
1515397089373,1,180.5189971923828,424.67498779296875,-,,,,,,,,,,
1515397089406,1,181.8179931640625,424.67498779296875,-,,,,,,,,,,
1515397089439,1,183.11700439453125,424.67498779296875,-,,,,,,,,,,
1515397089473,1,184.41600036621094,424.67498779296875,-,,,,,,,,,,
1515397089524,1,185.71400451660156,424.67498779296875,-,,,,,,,,,,
1515397089606,1,187.01300048828125,424.67498779296875,-,,,,,,,,,,
1515397089690,1,188.31199645996094,425.9739990234375,-,,,,,,,,,,
1515397089756,1,189.61000061035156,425.9739990234375,-,,,,,,,,,,
1515397089792,1,190.90899658203125,425.9739990234375,-,,,,,,,,,,
1515397089823,1,192.20799255371094,425.9739990234375,-,,,,,,,,,,
1515397089873,1,193.5070037841797,427.27301025390625,-,,,,,,,,,,
1515397089923,1,194.80499267578125,427.27301025390625,-,,,,,,,,,,
1515397089957,1,196.10400390625,427.27301025390625,-,,,,,,,,,,
1515397090007,1,197.4029998779297,428.5710144042969,-,,,,,,,,,,
1515397090039,1,198.7010040283203,428.5710144042969,-,,,,,,,,,,
1515397090073,1,200,428,-,,,,,,,,,,
1515397090106,1,201.2989959716797,428.5710144042969,-,,,,,,,,,,
1515397090140,1,202.5970001220703,428.5710144042969,-,,,,,,,,,,
1515397090173,1,203.89599609375,429.8699951171875,-,,,,,,,,,,
1515397090639,1,203.89599609375,431.16900634765625,-,,,,,,,,,,
1515397090657,1,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397092076,3,205.19500732421875,431.16900634765625,13,,,,,,,,,,
1515397092419,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397092619,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397092821,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397093021,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397093219,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397093419,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397093619,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397093821,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397094022,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397094221,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397094419,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397094619,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397094822,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397094961,2,187.01300048828125,580.5189819335938,-,,,,,,,,,,
1515397094964,3,187.01300048828125,580.5189819335938,10,,,,,,,,,,
1515397095220,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
1515397095419,0,205.19500732421875,431.16900634765625,-,,,,,,,,,,
