Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1515656705989,,,0,0,0,-,292.65625,512.875,590.65625,550.875,1515656705768.0,1.0,,0.0,0.0
1515656706188,,,0,0,0,-,,,,,,,,,
1515656706389,,,0,0,0,-,,,,,,,,,
1515656706591,,,0,0,0,-,,,,,,,,,
1515656706790,,,0,0,0,-,,,,,,,,,
1515656706986,,,0,0,0,-,,,,,,,,,
1515656707018,,,1,783,557,-,,,,,,,,,
1515656707034,,,1,773,542,-,,,,,,,,,
1515656707050,,,1,754,524,-,,,,,,,,,
1515656707067,,,1,742,507,-,,,,,,,,,
1515656707084,,,1,732,494,-,,,,,,,,,
1515656707100,,,1,717,478,-,,,,,,,,,
1515656707118,,,1,701,460,-,,,,,,,,,
1515656707134,,,1,689,440,-,,,,,,,,,
1515656707151,,,1,669,426,-,,,,,,,,,
1515656707168,,,1,650,406,-,,,,,,,,,
1515656707184,,,1,638,394,-,,,,,,,,,
1515656707201,,,1,621,378,-,,,,,,,,,
1515656707218,,,1,608,358,-,,,,,,,,,
1515656707235,,,1,588,343,-,,,,,,,,,
1515656707251,,,1,575,330,-,,,,,,,,,
1515656707268,,,1,560,319,-,,,,,,,,,
1515656707284,,,1,543,304,-,,,,,,,,,
1515656707301,,,1,527,286,-,,,,,,,,,
1515656707318,,,1,511,273,-,,,,,,,,,
1515656707334,,,1,496,256,-,,,,,,,,,
1515656707351,,,1,480,238,-,,,,,,,,,
1515656707367,,,1,460,218,-,,,,,,,,,
1515656707385,,,1,446,203,-,,,,,,,,,
1515656707401,,,1,434,187,-,,,,,,,,,
1515656707418,,,1,420,172,-,,,,,,,,,
1515656707434,,,1,401,160,-,,,,,,,,,
1515656707452,,,1,391,147,-,,,,,,,,,
1515656707468,,,1,372,127,-,,,,,,,,,
1515656707485,,,1,355,109,-,,,,,,,,,
1515656707501,,,1,343,95,-,,,,,,,,,
1515656707518,,,1,330,83,-,,,,,,,,,
1515656707536,,,1,320,66,-,,,,,,,,,
1515656707552,,,1,306,51,-,,,,,,,,,
1515656707569,,,1,295,35,-,,,,,,,,,
1515656707584,,,1,442,341,12,,,,,,,,,
1515656707585,,,2,442,341,-,,,,,,,,,
1515656707587,,,3,442,341,10,,,,,,,,,
1515656707790,,,0,442,341,-,,,,,,,,,
1515656707991,,,0,442,341,-,,,,,,,,,
1515656708192,,,0,442,341,-,,,,,,,,,
1515656708388,,,0,442,341,-,,,,,,,,,
1515656708394,6.0,22.0,0,442,341,,,,,,,,,,
1515656708504,7.0,22.0,0,442,341,,,,,,,,,,
1515656708587,,,0,442,341,-,,,,,,,,,
1515656708611,6.0,22.0,0,442,341,,,,,,,,,,
1515656708718,7.0,22.0,0,442,341,,,,,,,,,,
1515656708791,,,0,442,341,-,,,,,,,,,
1515656708823,6.0,22.0,0,442,341,,,,,,,,,,
1515656708931,7.0,22.0,0,442,341,,,,,,,,,,
1515656708989,,,0,442,341,-,,,,,,,,,
1515656709036,6.0,22.0,0,442,341,,,,,,,,,,
1515656709142,7.0,22.0,0,442,341,,,,,,,,,,
1515656709187,,,0,442,341,-,,,,,,,,,
1515656709246,6.0,22.0,0,442,341,,,,,,,,,,
1515656709351,7.0,22.0,0,442,341,,,,,,,,,,
1515656709391,,,0,442,341,-,,,,,,,,,
