Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1515751678548,,,0,0,0,-,292.65625,512.875,590.65625,550.875,1515751678334.0,1.0,,0.0,0.0
1515751678746,,,0,0,0,-,,,,,,,,,
1515751678946,,,0,0,0,-,,,,,,,,,
1515751679148,,,0,0,0,-,,,,,,,,,
1515751679348,,,0,0,0,-,,,,,,,,,
1515751679399,,,1,700,582,-,,,,,,,,,
1515751679406,,,1,682,568,-,,,,,,,,,
1515751679423,,,1,669,557,-,,,,,,,,,
1515751679440,,,1,657,538,-,,,,,,,,,
1515751679456,,,1,644,526,-,,,,,,,,,
1515751679472,,,1,630,514,-,,,,,,,,,
1515751679490,,,1,615,496,-,,,,,,,,,
1515751679506,,,1,596,479,-,,,,,,,,,
1515751679523,,,1,585,465,-,,,,,,,,,
1515751679540,,,1,568,455,-,,,,,,,,,
1515751679557,,,1,552,441,-,,,,,,,,,
1515751679573,,,1,535,430,-,,,,,,,,,
1515751679590,,,1,518,411,-,,,,,,,,,
1515751679606,,,1,506,395,-,,,,,,,,,
1515751679624,,,1,496,376,-,,,,,,,,,
1515751679640,,,1,484,366,-,,,,,,,,,
1515751679657,,,1,474,356,-,,,,,,,,,
1515751679673,,,1,462,344,-,,,,,,,,,
1515751679690,,,1,443,326,-,,,,,,,,,
1515751679707,,,1,428,306,-,,,,,,,,,
1515751679723,,,1,408,294,-,,,,,,,,,
1515751679740,,,1,391,274,-,,,,,,,,,
1515751679757,,,1,375,263,-,,,,,,,,,
1515751679774,,,1,359,244,-,,,,,,,,,
1515751679790,,,1,348,230,-,,,,,,,,,
1515751679807,,,1,332,211,-,,,,,,,,,
1515751679824,,,1,317,196,-,,,,,,,,,
1515751679840,,,1,299,181,-,,,,,,,,,
1515751679858,,,1,281,166,-,,,,,,,,,
1515751679869,,,1,442,341,12,,,,,,,,,
1515751679869,,,2,442,341,-,,,,,,,,,
