Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1515999457277,,,0,0,0,-,581.65625,298.875,881.65625,342.875,1515999457039.0,0.0,,0.0,0.0
1515999457446,,,0,0,0,-,,,,,,,,,
1515999457542,,,1,748,15,-,,,,,,,,,
1515999457554,,,1,747,56,-,,,,,,,,,
1515999457570,,,1,747,98,-,,,,,,,,,
1515999457587,,,1,747,135,-,,,,,,,,,
1515999457603,,,1,748,168,-,,,,,,,,,
1515999457621,,,1,749,188,-,,,,,,,,,
1515999457639,,,1,750,212,-,,,,,,,,,
1515999457654,,,1,750,228,-,,,,,,,,,
1515999457670,,,1,748,237,-,,,,,,,,,
1515999457686,,,1,745,243,-,,,,,,,,,
1515999457703,,,1,743,247,-,,,,,,,,,
1515999457720,,,1,740,250,-,,,,,,,,,
1515999457736,,,1,737,254,-,,,,,,,,,
1515999457754,,,1,734,257,-,,,,,,,,,
1515999457770,,,1,732,261,-,,,,,,,,,
1515999457786,,,1,728,268,-,,,,,,,,,
1515999457803,,,1,725,272,-,,,,,,,,,
1515999457820,,,1,722,279,-,,,,,,,,,
1515999457836,,,1,718,286,-,,,,,,,,,
1515999457853,,,1,715,291,-,,,,,,,,,
1515999457870,,,1,713,296,-,,,,,,,,,
1515999457888,,,1,711,299,-,,,,,,,,,
1515999457903,,,1,710,302,-,,,,,,,,,
1515999457919,,,1,708,304,-,,,,,,,,,
1515999457936,,,1,708,305,-,,,,,,,,,
1515999457954,,,1,707,306,-,,,,,,,,,
1515999457970,,,1,706,308,-,,,,,,,,,
1515999457987,,,1,705,310,-,,,,,,,,,
1515999458004,,,1,704,312,-,,,,,,,,,
1515999458019,,,1,703,315,-,,,,,,,,,
1515999458036,,,1,701,317,12,,,,,,,,,
1515999458243,,,2,701,317,-,,,,,,,,,
1515999458249,,,3,701,317,10,,,,,,,,,
