Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652205444,,,0,0,0,-,37.5,666.875,335.5,704.875,1515652205241.0,1.0,
1515652205645,,,0,0,0,-,,,,,,,
1515652205795,,,2,210,691,-,,,,,,,
1515652205926,,,3,210,691,10,,,,,,,
