Time,event_type,op_x,op_y,Action,correct_x,correct_y,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1516351541913,0,0,0,-,663.65625,179.875,561.65625,349.875,597.65625,385.875,1516351541283.0,0.0,,1.0,0.0
1516351542089,0,0,0,-,,,,,,,,,,,
1516351542291,0,0,0,-,,,,,,,,,,,
1516351542343,1,949,6,-,,,,,,,,,,,
1516351542355,1,940,10,-,,,,,,,,,,,
1516351542369,1,923,16,-,,,,,,,,,,,
1516351542385,1,918,18,-,,,,,,,,,,,
1516351542402,1,916,18,-,,,,,,,,,,,
1516351542418,1,912,19,-,,,,,,,,,,,
1516351542435,1,901,20,-,,,,,,,,,,,
1516351542452,1,899,20,-,,,,,,,,,,,
1516351542478,1,882,13,-,,,,,,,,,,,
1516351542485,1,873,11,-,,,,,,,,,,,
1516351542502,1,836,0,-,,,,,,,,,,,
1516351542613,1,558,2,-,,,,,,,,,,,
1516351542619,1,558,2,-,,,,,,,,,,,
1516351542635,1,541,17,-,,,,,,,,,,,
1516351542652,1,538,24,-,,,,,,,,,,,
1516351542668,1,538,43,-,,,,,,,,,,,
1516351542685,1,539,47,-,,,,,,,,,,,
1516351542767,1,539,47,-,,,,,,,,,,,
1516351542774,1,539,48,-,,,,,,,,,,,
1516351542785,1,538,51,-,,,,,,,,,,,
1516351542802,1,535,55,-,,,,,,,,,,,
1516351542818,1,532,62,-,,,,,,,,,,,
1516351542835,1,529,88,-,,,,,,,,,,,
1516351542852,1,528,107,-,,,,,,,,,,,
1516351542868,1,526,146,-,,,,,,,,,,,
1516351542885,1,524,165,-,,,,,,,,,,,
1516351542902,1,522,174,-,,,,,,,,,,,
1516351542920,1,520,176,-,,,,,,,,,,,
1516351542936,1,520,174,-,,,,,,,,,,,
1516351543047,1,520,172,-,,,,,,,,,,,
1516351543053,1,520,172,-,,,,,,,,,,,
1516351543069,1,520,174,-,,,,,,,,,,,
1516351543085,1,517,175,-,,,,,,,,,,,
1516351543102,1,517,176,-,,,,,,,,,,,
1516351543118,1,523,187,-,,,,,,,,,,,
1516351543135,1,528,198,-,,,,,,,,,,,
1516351543152,1,538,211,-,,,,,,,,,,,
1516351543168,1,548,222,-,,,,,,,,,,,
1516351543185,1,579,244,-,,,,,,,,,,,
1516351543202,1,593,251,-,,,,,,,,,,,
1516351543218,1,601,256,-,,,,,,,,,,,
1516351543236,1,612,262,-,,,,,,,,,,,
1516351543252,1,616,266,-,,,,,,,,,,,
1516351543268,1,620,270,-,,,,,,,,,,,
1516351543285,1,623,272,-,,,,,,,,,,,
1516351543302,1,625,274,-,,,,,,,,,,,
1516351543318,1,626,275,-,,,,,,,,,,,
1516351543335,1,627,275,-,,,,,,,,,,,
1516351543352,1,628,276,-,,,,,,,,,,,
1516351543369,1,630,278,-,,,,,,,,,,,
1516351543386,1,633,281,-,,,,,,,,,,,
1516351543402,1,639,285,-,,,,,,,,,,,
1516351543419,1,643,289,-,,,,,,,,,,,
1516351543435,1,645,291,-,,,,,,,,,,,
1516351543452,1,648,295,-,,,,,,,,,,,
1516351543469,1,651,300,-,,,,,,,,,,,
1516351543485,1,651,300,-,,,,,,,,,,,
1516351543502,1,652,301,-,,,,,,,,,,,
1516351543519,1,653,302,-,,,,,,,,,,,
1516351543535,1,653,304,-,,,,,,,,,,,
1516351543552,1,654,304,-,,,,,,,,,,,
1516351543569,1,654,305,-,,,,,,,,,,,
1516351543586,1,654,305,-,,,,,,,,,,,
1516351543619,1,654,305,-,,,,,,,,,,,
1516351543635,1,654,305,-,,,,,,,,,,,
1516351543653,1,653,305,-,,,,,,,,,,,
1516351543669,1,653,306,-,,,,,,,,,,,
1516351543685,1,653,306,-,,,,,,,,,,,
1516351543702,1,652,305,-,,,,,,,,,,,
1516351543718,1,648,303,-,,,,,,,,,,,
1516351543735,1,644,300,-,,,,,,,,,,,
1516351543752,1,641,299,-,,,,,,,,,,,
1516351543769,1,638,298,-,,,,,,,,,,,
1516351543786,1,637,297,-,,,,,,,,,,,
1516351543802,1,633,296,-,,,,,,,,,,,
1516351543818,1,630,293,-,,,,,,,,,,,
1516351543835,1,617,286,-,,,,,,,,,,,
1516351543852,1,609,282,-,,,,,,,,,,,
1516351543869,1,603,276,-,,,,,,,,,,,
1516351543885,1,592,264,-,,,,,,,,,,,
1516351543902,1,588,258,-,,,,,,,,,,,
1516351543919,1,587,256,-,,,,,,,,,,,
1516351543935,1,587,255,-,,,,,,,,,,,
1516351543959,1,588,255,-,,,,,,,,,,,
1516351543975,1,589,255,-,,,,,,,,,,,
1516351543991,1,589,255,-,,,,,,,,,,,
1516351544007,1,589,255,-,,,,,,,,,,,
1516351544019,1,590,255,-,,,,,,,,,,,
1516351544036,1,591,255,-,,,,,,,,,,,
1516351544052,1,592,254,-,,,,,,,,,,,
1516351544068,1,594,253,-,,,,,,,,,,,
1516351544085,1,596,252,-,,,,,,,,,,,
1516351544102,1,597,249,-,,,,,,,,,,,
1516351544119,1,599,246,-,,,,,,,,,,,
1516351544136,1,602,239,-,,,,,,,,,,,
1516351544152,1,604,234,-,,,,,,,,,,,
1516351544169,1,606,230,-,,,,,,,,,,,
1516351544185,1,608,229,-,,,,,,,,,,,
1516351544202,1,608,228,-,,,,,,,,,,,
1516351544219,1,610,225,-,,,,,,,,,,,
1516351544236,1,613,221,-,,,,,,,,,,,
1516351544252,1,617,215,-,,,,,,,,,,,
1516351544268,1,620,210,-,,,,,,,,,,,
1516351544285,1,623,204,-,,,,,,,,,,,
1516351544302,1,623,203,12,,,,,,,,,,,
1516351544333,2,623,203,-,,,,,,,,,,,
1516351544416,3,623,203,10,,,,,,,,,,,
1516351544487,2,623,203,-,,,,,,,,,,,
1516351544571,3,623,203,10,,,,,,,,,,,
1516351544624,2,623,203,-,,,,,,,,,,,
1516351544727,3,623,203,10,,,,,,,,,,,
1516351545090,0,623,203,-,,,,,,,,,,,
1516351545293,0,623,203,-,,,,,,,,,,,
1516351545489,0,623,203,-,,,,,,,,,,,
1516351545692,0,623,203,-,,,,,,,,,,,
1516351545892,0,623,203,-,,,,,,,,,,,
1516351546090,0,623,203,-,,,,,,,,,,,
1516351546290,0,623,203,-,,,,,,,,,,,
1516351546489,0,623,203,-,,,,,,,,,,,
1516351546692,0,623,203,-,,,,,,,,,,,
1516351546892,0,623,203,-,,,,,,,,,,,
1516351547091,0,623,203,-,,,,,,,,,,,
1516351547288,0,623,203,-,,,,,,,,,,,
1516351547488,0,623,203,-,,,,,,,,,,,
1516351547508,1,624,203,-,,,,,,,,,,,
1516351547520,1,625,205,-,,,,,,,,,,,
1516351547540,1,630,213,-,,,,,,,,,,,
1516351547552,1,634,219,-,,,,,,,,,,,
1516351547569,1,636,222,-,,,,,,,,,,,
1516351547586,1,637,223,-,,,,,,,,,,,
1516351547603,1,637,224,-,,,,,,,,,,,
1516351547619,1,638,225,-,,,,,,,,,,,
1516351547636,1,638,227,-,,,,,,,,,,,
1516351547653,1,639,229,-,,,,,,,,,,,
1516351547669,1,641,234,-,,,,,,,,,,,
1516351547686,1,642,238,-,,,,,,,,,,,
1516351547703,1,646,250,-,,,,,,,,,,,
1516351547719,1,648,260,-,,,,,,,,,,,
1516351547736,1,649,269,-,,,,,,,,,,,
1516351547753,1,651,279,-,,,,,,,,,,,
1516351547770,1,654,286,-,,,,,,,,,,,
1516351547786,1,667,303,-,,,,,,,,,,,
1516351547803,1,670,307,-,,,,,,,,,,,
1516351547819,1,671,308,-,,,,,,,,,,,
1516351547836,1,672,309,-,,,,,,,,,,,
1516351547853,1,672,309,-,,,,,,,,,,,
1516351547870,1,672,309,-,,,,,,,,,,,
1516351547886,1,673,310,-,,,,,,,,,,,
1516351547903,1,673,311,12,,,,,,,,,,,
1516351547911,2,673,311,-,,,,,,,,,,,
1516351547919,1,673,312,-,,,,,,,,,,,
1516351547952,1,673,312,-,,,,,,,,,,,
1516351547986,1,673,312,-,,,,,,,,,,,
1516351547994,3,673,312,13,,,,,,,,,,,
1516351548003,1,652,306,-,,,,,,,,,,,
1516351548019,1,622,294,-,,,,,,,,,,,
1516351548037,1,562,267,-,,,,,,,,,,,
1516351548053,1,511,244,-,,,,,,,,,,,
1516351548071,1,485,235,-,,,,,,,,,,,
1516351548086,1,418,219,-,,,,,,,,,,,
1516351548104,1,407,220,-,,,,,,,,,,,
