Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652230994,,,0,0,0,-,37.5,666.875,335.5,704.875,1515652215297.0,1.0,
1515652231195,,,0,0,0,-,,,,,,,
1515652231396,,,0,0,0,-,,,,,,,
1515652231596,,,0,0,0,-,,,,,,,
1515652231796,,,0,0,0,-,,,,,,,
1515652231997,,,0,0,0,-,,,,,,,
1515652232198,,,0,0,0,-,,,,,,,
1515652232399,,,0,0,0,-,,,,,,,
1515652232602,,,0,0,0,-,,,,,,,
1515652232803,,,0,0,0,-,,,,,,,
1515652233004,,,0,0,0,-,,,,,,,
1515652233208,,,0,0,0,-,,,,,,,
1515652233360,,,2,195,688,-,,,,,,,
1515652233454,,,3,195,688,10,,,,,,,
