Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652873178,,,0,0,0,-,30.0,638.875,328.0,676.875,1515652872972.0,1.0,
1515652873377,,,0,0,0,-,,,,,,,
1515652873577,,,0,0,0,-,,,,,,,
1515652873778,,,0,0,0,-,,,,,,,
1515652873978,,,0,0,0,-,,,,,,,
1515652874178,,,0,0,0,-,,,,,,,
1515652874377,,,0,0,0,-,,,,,,,
1515652874578,,,0,0,0,-,,,,,,,
1515652874778,,,0,0,0,-,,,,,,,
1515652874978,,,0,0,0,-,,,,,,,
1515652875178,,,0,0,0,-,,,,,,,
1515652875378,,,0,0,0,-,,,,,,,
1515652875578,,,0,0,0,-,,,,,,,
1515652875778,,,0,0,0,-,,,,,,,
1515652875977,,,0,0,0,-,,,,,,,
1515652876177,,,0,0,0,-,,,,,,,
1515652876377,,,0,0,0,-,,,,,,,
1515652876577,,,0,0,0,-,,,,,,,
1515652876778,,,0,0,0,-,,,,,,,
1515652876978,,,0,0,0,-,,,,,,,
1515652877179,,,0,0,0,-,,,,,,,
1515652877378,,,0,0,0,-,,,,,,,
1515652877555,,,2,223,661,-,,,,,,,
1515652877637,,,3,223,661,10,,,,,,,
