Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652942138,,,0,0,0,-,37.5,666.875,335.5,704.875,1515652941935.0,1.0,
1515652942339,,,0,0,0,-,,,,,,,
1515652942540,,,0,0,0,-,,,,,,,
1515652942741,,,0,0,0,-,,,,,,,
1515652942943,,,0,0,0,-,,,,,,,
1515652943144,,,0,0,0,-,,,,,,,
1515652943345,,,0,0,0,-,,,,,,,
1515652943547,,,0,0,0,-,,,,,,,
1515652943748,,,0,0,0,-,,,,,,,
1515652943824,,,2,182,687,-,,,,,,,
1515652943907,,,3,182,687,10,,,,,,,
