Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515653011074,,,0,0.0,0.0,-,30.0,636.875,328.0,674.875,1515653010869.0,1.0,
1515653011274,,,0,0.0,0.0,-,,,,,,,
1515653011474,,,0,0.0,0.0,-,,,,,,,
1515653011674,,,0,0.0,0.0,-,,,,,,,
1515653011874,,,0,0.0,0.0,-,,,,,,,
1515653012074,,,0,0.0,0.0,-,,,,,,,
1515653012274,,,0,0.0,0.0,-,,,,,,,
1515653012474,,,0,0.0,0.0,-,,,,,,,
1515653012674,,,0,0.0,0.0,-,,,,,,,
1515653012874,,,0,0.0,0.0,-,,,,,,,
1515653013074,,,0,0.0,0.0,-,,,,,,,
1515653013274,,,0,0.0,0.0,-,,,,,,,
1515653013475,,,0,0.0,0.0,-,,,,,,,
1515653013676,,,0,0.0,0.0,-,,,,,,,
1515653013874,,,0,0.0,0.0,-,,,,,,,
1515653014074,,,0,0.0,0.0,-,,,,,,,
1515653014274,,,0,0.0,0.0,-,,,,,,,
1515653014474,,,0,0.0,0.0,-,,,,,,,
1515653014676,,,0,0.0,0.0,-,,,,,,,
1515653014695,,,2,206.8090057373047,666.4339599609375,-,,,,,,,
1515653014771,,,3,206.8090057373047,666.4339599609375,10,,,,,,,
