Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652850130,,,0,0,0,-,37.5,666.875,335.5,704.875,1515652849924.0,1.0,
1515652850331,,,0,0,0,-,,,,,,,
1515652850532,,,0,0,0,-,,,,,,,
1515652850733,,,0,0,0,-,,,,,,,
1515652850934,,,0,0,0,-,,,,,,,
1515652851135,,,0,0,0,-,,,,,,,
1515652851337,,,0,0,0,-,,,,,,,
1515652851538,,,0,0,0,-,,,,,,,
1515652851739,,,0,0,0,-,,,,,,,
1515652851940,,,0,0,0,-,,,,,,,
1515652852142,,,0,0,0,-,,,,,,,
1515652852343,,,0,0,0,-,,,,,,,
1515652852544,,,0,0,0,-,,,,,,,
1515652852747,,,0,0,0,-,,,,,,,
1515652852947,,,0,0,0,-,,,,,,,
1515652853001,,,2,221,677,-,,,,,,,
1515652853029,,,3,221,677,10,,,,,,,
