Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652775528,,,0,0.0,0.0,-,30.0,636.875,328.0,674.875,1515652775324.0,1.0,
1515652775728,,,0,0.0,0.0,-,,,,,,,
1515652775928,,,0,0.0,0.0,-,,,,,,,
1515652776128,,,0,0.0,0.0,-,,,,,,,
1515652776328,,,0,0.0,0.0,-,,,,,,,
1515652776528,,,0,0.0,0.0,-,,,,,,,
1515652776684,,,2,260.42599487304693,659.1119995117188,-,,,,,,,
1515652776740,,,3,260.42599487304693,659.1119995117188,10,,,,,,,
1515652776960,,,0,0.0,0.0,-,,,,,,,
