Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515653036423,,,0,0,0,-,30.0,638.875,328.0,676.875,1515653030616.0,1.0,
1515653036622,,,0,0,0,-,,,,,,,
1515653036822,,,0,0,0,-,,,,,,,
1515653037022,,,0,0,0,-,,,,,,,
1515653037222,,,0,0,0,-,,,,,,,
1515653037422,,,0,0,0,-,,,,,,,
1515653037622,,,0,0,0,-,,,,,,,
1515653037822,,,0,0,0,-,,,,,,,
1515653038028,,,0,0,0,-,,,,,,,
1515653038222,,,0,0,0,-,,,,,,,
1515653038422,,,0,0,0,-,,,,,,,
1515653038621,,,0,0,0,-,,,,,,,
1515653038658,,,2,225,667,-,,,,,,,
1515653038703,,,3,225,667,10,,,,,,,
