Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652849649,,,0,0.0,0.0,-,30.0,638.875,328.0,676.875,1515652849438.0,1.0,
1515652849848,,,0,0.0,0.0,-,,,,,,,
1515652850048,,,0,0.0,0.0,-,,,,,,,
1515652850248,,,0,0.0,0.0,-,,,,,,,
1515652850448,,,0,0.0,0.0,-,,,,,,,
1515652850648,,,0,0.0,0.0,-,,,,,,,
1515652850849,,,0,0.0,0.0,-,,,,,,,
1515652851048,,,0,0.0,0.0,-,,,,,,,
1515652851248,,,0,0.0,0.0,-,,,,,,,
1515652851274,,,2,190.66700744628903,656.6669921875,-,,,,,,,
1515652851342,,,3,190.66700744628903,656.6669921875,10,,,,,,,
