Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515653419362,,,0,0.0,0.0,-,30.0,636.875,328.0,674.875,1515653419158.0,1.0,
1515653419562,,,0,0.0,0.0,-,,,,,,,
1515653419762,,,0,0.0,0.0,-,,,,,,,
1515653419962,,,0,0.0,0.0,-,,,,,,,
1515653420165,,,0,0.0,0.0,-,,,,,,,
1515653420362,,,0,0.0,0.0,-,,,,,,,
1515653420562,,,0,0.0,0.0,-,,,,,,,
1515653420763,,,0,0.0,0.0,-,,,,,,,
1515653420963,,,0,0.0,0.0,-,,,,,,,
1515653420983,,,2,240.7769927978516,666.406982421875,-,,,,,,,
1515653421042,,,3,240.7769927978516,666.406982421875,10,,,,,,,
