Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652895261,,,0,0.0,0.0,-,30.0,636.875,328.0,674.875,1515652889451.0,1.0,
1515652895461,,,0,0.0,0.0,-,,,,,,,
1515652895661,,,0,0.0,0.0,-,,,,,,,
1515652895861,,,0,0.0,0.0,-,,,,,,,
1515652896061,,,0,0.0,0.0,-,,,,,,,
1515652896261,,,0,0.0,0.0,-,,,,,,,
1515652896461,,,0,0.0,0.0,-,,,,,,,
1515652896661,,,0,0.0,0.0,-,,,,,,,
1515652896861,,,0,0.0,0.0,-,,,,,,,
1515652897061,,,0,0.0,0.0,-,,,,,,,
1515652897261,,,0,0.0,0.0,-,,,,,,,
1515652897400,,,2,271.7479858398437,729.0759887695312,-,,,,,,,
1515652897470,,,3,271.7479858398437,729.0759887695312,10,,,,,,,
1515652897861,,,0,0.0,0.0,-,,,,,,,
1515652898061,,,0,0.0,0.0,-,,,,,,,
1515652898261,,,0,0.0,0.0,-,,,,,,,
1515652898462,,,0,0.0,0.0,-,,,,,,,
1515652898661,,,0,0.0,0.0,-,,,,,,,
1515652898698,,,2,276.0780029296875,660.1109619140625,-,,,,,,,
1515652898773,,,3,276.0780029296875,660.1109619140625,10,,,,,,,
