Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652906473,,,0,0,0,-,30.0,638.875,328.0,676.875,1515652906269.0,1.0,
1515652906673,,,0,0,0,-,,,,,,,
1515652906873,,,0,0,0,-,,,,,,,
1515652907074,,,0,0,0,-,,,,,,,
1515652907274,,,0,0,0,-,,,,,,,
1515652907474,,,0,0,0,-,,,,,,,
1515652907674,,,0,0,0,-,,,,,,,
1515652907874,,,0,0,0,-,,,,,,,
1515652908074,,,0,0,0,-,,,,,,,
1515652908275,,,0,0,0,-,,,,,,,
1515652908474,,,0,0,0,-,,,,,,,
1515652908676,,,0,0,0,-,,,,,,,
1515652908876,,,0,0,0,-,,,,,,,
1515652909073,,,0,0,0,-,,,,,,,
1515652909273,,,0,0,0,-,,,,,,,
1515652909473,,,0,0,0,-,,,,,,,
1515652909673,,,0,0,0,-,,,,,,,
1515652909873,,,0,0,0,-,,,,,,,
1515652909925,,,2,208,657,-,,,,,,,
1515652910004,,,3,208,657,10,,,,,,,
