Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515651196724,,,0,0,0,-,80.0,586.875,378.0,624.875,1515651189433.0,1.0,
1515651196926,,,0,0,0,-,,,,,,,
1515651197127,,,0,0,0,-,,,,,,,
1515651197328,,,0,0,0,-,,,,,,,
1515651197437,,,2,61,724,-,,,,,,,
1515651197477,,,3,61,724,10,,,,,,,
1515651197730,,,0,0,0,-,,,,,,,
1515651197932,,,0,0,0,-,,,,,,,
1515651198133,,,0,0,0,-,,,,,,,
1515651198334,,,0,0,0,-,,,,,,,
1515651198401,,,2,268,604,-,,,,,,,
1515651198413,,,3,268,604,10,,,,,,,
