Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652828195,,,0,0,0,-,37.5,666.875,335.5,704.875,1515652827989.0,1.0,
1515652828395,,,0,0,0,-,,,,,,,
1515652828596,,,0,0,0,-,,,,,,,
1515652828798,,,0,0,0,-,,,,,,,
1515652828999,,,0,0,0,-,,,,,,,
1515652829200,,,0,0,0,-,,,,,,,
1515652829401,,,0,0,0,-,,,,,,,
1515652829602,,,0,0,0,-,,,,,,,
1515652829804,,,0,0,0,-,,,,,,,
1515652830005,,,0,0,0,-,,,,,,,
1515652830206,,,0,0,0,-,,,,,,,
1515652830407,,,0,0,0,-,,,,,,,
1515652830559,,,2,201,689,-,,,,,,,
1515652830626,,,3,201,689,10,,,,,,,
