Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652932225,,,0,0,0,-,37.5,666.875,335.5,704.875,1515652932022.0,1.0,
1515652932426,,,0,0,0,-,,,,,,,
1515652932628,,,0,0,0,-,,,,,,,
1515652932829,,,0,0,0,-,,,,,,,
1515652933030,,,0,0,0,-,,,,,,,
1515652933231,,,0,0,0,-,,,,,,,
1515652933432,,,0,0,0,-,,,,,,,
1515652933633,,,0,0,0,-,,,,,,,
1515652933834,,,0,0,0,-,,,,,,,
1515652933939,,,2,174,686,-,,,,,,,
1515652934023,,,3,174,686,10,,,,,,,
