,Time,Xpath_id,event_type,control_type
0,1522153567145,1,4,2
1,1522153567148,1,4,2
2,1522153567226,1,5,2
3,1522153567236,1,4,2
4,1522153567266,1,5,2
5,1522153567338,1,5,2
6,1522153567356,1,4,2
7,1522153567365,1,4,2
8,1522153567460,1,4,2
9,1522153567462,1,5,2
10,1522153567491,1,5,2
11,1522153567547,1,5,2
12,1522153567563,1,4,2
13,1522153567588,1,4,2
14,1522153567669,1,4,2
15,1522153567674,1,5,2
16,1522153567706,1,5,2
17,1522153567786,1,5,2
18,1522153567804,1,4,2
19,1522153567876,1,4,2
20,1522153567923,1,4,2
21,1522153567949,1,5,2
22,1522153567962,1,5,2
23,1522153568026,1,5,2
