,Time,Xpath_id,event_type,control_type
0,1522226461358,2,4,2
1,1522226461460,2,5,2
2,1522226461524,2,4,2
3,1522226461557,2,4,2
4,1522226461588,2,4,2
5,1522226461605,2,5,2
6,1522226461611,2,5,2
7,1522226461691,2,5,2
8,1522226461925,2,4,2
9,1522226462032,2,5,2
10,1522226462415,3,4,2
11,1522226462417,3,4,2
12,1522226462534,3,4,2
13,1522226462535,3,5,2
14,1522226462555,3,5,2
15,1522226462622,3,4,2
16,1522226462644,3,5,2
17,1522226462678,3,4,2
18,1522226462733,3,4,2
19,1522226462755,3,5,2
20,1522226462787,3,5,2
21,1522226462835,3,5,2
22,1522226463092,4,4,2
23,1522226463217,4,4,2
24,1522226463220,4,4,2
25,1522226463237,4,5,2
26,1522226463251,4,5,2
27,1522226463323,4,5,2
28,1522226463323,4,4,2
29,1522226463347,4,4,2
30,1522226463412,4,4,2
31,1522226463459,4,5,2
32,1522226463468,4,5,2
33,1522226463523,4,5,2
34,1522226463796,5,4,2
35,1522226463851,5,4,2
36,1522226463892,5,4,2
37,1522226463931,5,5,2
38,1522226463947,5,5,2
39,1522226463994,5,5,2
40,1522226464019,5,4,2
41,1522226464087,5,4,2
42,1522226464088,5,4,2
43,1522226464132,5,5,2
44,1522226464148,5,5,2
45,1522226464187,5,5,2
