,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522400049383,1,2,2,180.0,221.0
1,1522400049386,1,3,2,180.0,221.0
2,1522400049598,1,4,2,,
3,1522400049708,1,5,2,,
4,1522400049815,1,4,2,,
5,1522400049920,1,5,2,,
6,1522400050023,1,4,2,,
7,1522400050128,1,5,2,,
8,1522400050233,1,4,2,,
9,1522400050339,1,5,2,,
10,1522400050445,1,4,2,,
11,1522400050553,1,5,2,,
12,1522400050685,2,2,2,180.0,292.0
13,1522400050688,2,3,2,180.0,292.0
14,1522400050703,2,4,2,,
15,1522400050808,2,5,2,,
16,1522400050913,2,4,2,,
17,1522400051019,2,5,2,,
18,1522400051125,2,4,2,,
19,1522400051232,2,5,2,,
20,1522400051338,2,4,2,,
21,1522400051442,2,5,2,,
22,1522400051548,2,4,2,,
23,1522400051656,2,5,2,,
24,1522400051762,2,4,2,,
25,1522400051869,2,5,2,,
26,1522400051974,2,4,2,,
27,1522400052082,2,5,2,,
28,1522400052186,2,4,2,,
29,1522400052295,2,5,2,,
30,1522400052399,2,4,2,,
31,1522400052503,2,5,2,,
32,1522400052607,2,4,2,,
33,1522400052714,2,5,2,,
34,1522400052820,2,4,2,,
35,1522400052924,2,5,2,,
36,1522400053032,2,4,2,,
37,1522400053137,2,5,2,,
38,1522400053258,3,2,7,180.0,390.0
39,1522400053259,3,3,7,180.0,390.0
