,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522399626905,1,2,2,180.0,221.0
1,1522399626907,1,3,2,180.0,221.0
2,1522399627121,1,4,2,,
3,1522399627230,1,5,2,,
4,1522399627337,1,4,2,,
5,1522399627441,1,5,2,,
6,1522399627547,1,4,2,,
7,1522399627655,1,5,2,,
8,1522399627761,1,4,2,,
9,1522399627870,1,5,2,,
10,1522399627975,1,4,2,,
11,1522399628081,1,5,2,,
12,1522399628207,2,2,2,180.0,292.0
13,1522399628208,2,3,2,180.0,292.0
14,1522399628226,2,4,2,,
15,1522399628329,2,5,2,,
16,1522399628431,2,4,2,,
17,1522399628539,2,5,2,,
18,1522399628645,2,4,2,,
19,1522399628751,2,5,2,,
20,1522399628858,2,4,2,,
21,1522399628964,2,5,2,,
22,1522399629070,2,4,2,,
23,1522399629175,2,5,2,,
24,1522399629278,2,4,2,,
25,1522399629385,2,5,2,,
26,1522399629491,2,4,2,,
27,1522399629601,2,5,2,,
28,1522399629706,2,4,2,,
29,1522399629814,2,5,2,,
30,1522399629918,2,4,2,,
31,1522399630025,2,5,2,,
32,1522399630128,2,4,2,,
33,1522399630234,2,5,2,,
34,1522399630341,2,4,2,,
35,1522399630447,2,5,2,,
36,1522399630555,2,4,2,,
37,1522399630658,2,5,2,,
38,1522399630780,3,2,7,180.0,390.0
39,1522399630782,3,3,7,180.0,390.0
