,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522401474693,1,2,2,180.0,221.0
1,1522401474694,1,3,2,180.0,221.0
2,1522401474902,1,4,2,,
3,1522401475010,1,5,2,,
4,1522401475116,1,4,2,,
5,1522401475221,1,5,2,,
6,1522401475328,1,4,2,,
7,1522401475434,1,5,2,,
8,1522401475539,1,4,2,,
9,1522401475650,1,5,2,,
10,1522401475755,1,4,2,,
11,1522401475862,1,5,2,,
12,1522401476195,2,2,2,180.0,292.0
13,1522401476197,2,3,2,180.0,292.0
14,1522401476217,2,4,2,,
15,1522401476325,2,5,2,,
16,1522401476429,2,4,2,,
17,1522401476532,2,5,2,,
18,1522401476638,2,4,2,,
19,1522401476746,2,5,2,,
20,1522401476852,2,4,2,,
21,1522401476959,2,5,2,,
22,1522401477065,2,4,2,,
23,1522401477172,2,5,2,,
24,1522401477278,2,4,2,,
25,1522401477386,2,5,2,,
26,1522401477491,2,4,2,,
27,1522401477598,2,5,2,,
28,1522401477704,2,4,2,,
29,1522401477811,2,5,2,,
30,1522401477915,2,4,2,,
31,1522401478020,2,5,2,,
32,1522401478125,2,4,2,,
33,1522401478232,2,5,2,,
34,1522401478340,2,4,2,,
35,1522401478447,2,5,2,,
36,1522401478769,3,2,2,180.0,363.0
37,1522401478770,3,3,2,180.0,363.0
38,1522401478790,3,4,2,,
39,1522401478898,3,5,2,,
40,1522401479005,3,4,2,,
41,1522401479115,3,5,2,,
42,1522401479221,3,4,2,,
43,1522401479328,3,5,2,,
44,1522401479434,3,4,2,,
45,1522401479539,3,5,2,,
46,1522401479646,3,4,2,,
47,1522401479753,3,5,2,,
48,1522401479859,3,4,2,,
49,1522401479965,3,5,2,,
50,1522401480071,3,4,2,,
51,1522401480183,3,5,2,,
52,1522401480289,3,4,2,,
53,1522401480398,3,5,2,,
54,1522401480504,3,4,2,,
55,1522401480610,3,5,2,,
56,1522401480717,3,4,2,,
57,1522401480823,3,5,2,,
58,1522401480927,3,4,2,,
59,1522401481035,3,5,2,,
60,1522401481142,3,4,2,,
61,1522401481249,3,5,2,,
62,1522401481577,4,2,2,180.0,434.0
63,1522401481579,4,3,2,180.0,434.0
64,1522401481596,4,4,2,,
65,1522401481702,4,5,2,,
66,1522401481809,4,4,2,,
67,1522401481914,4,5,2,,
68,1522401482020,4,4,2,,
69,1522401482126,4,5,2,,
70,1522401482232,4,4,2,,
71,1522401482339,4,5,2,,
72,1522401482446,4,4,2,,
73,1522401482552,4,5,2,,
74,1522401482656,4,4,2,,
75,1522401482763,4,5,2,,
76,1522401482871,4,4,2,,
77,1522401482979,4,5,2,,
78,1522401483084,4,4,2,,
79,1522401483190,4,5,2,,
80,1522401483296,4,4,2,,
81,1522401483402,4,5,2,,
82,1522401483509,4,4,2,,
83,1522401483616,4,5,2,,
84,1522401483723,4,4,2,,
85,1522401483827,4,5,2,,
86,1522401483932,4,4,2,,
87,1522401484038,4,5,2,,
88,1522401484368,5,2,2,76.0,473.0
89,1522401484370,5,3,2,76.0,473.0
90,1522401484418,6,2,7,180.0,565.0
91,1522401484420,6,3,7,180.0,565.0
