Timetime_mean,Dwelltime_mean,Flytime_mean,Timetime_range,Dwelltime_range,Flytime_range,Timetime_skew,Dwelltime_skew,Flytime_skew,Timetime_kurt,Dwelltime_kurt,Flytime_kurt,Timefft_shape_mean,Dwellfft_shape_mean,Flyfft_shape_mean,Timefft_shape_std,Dwellfft_shape_std,Flyfft_shape_std,Timefft_shape_skew,Dwellfft_shape_skew,Flyfft_shape_skew,Timefft_shape_kurt,Dwellfft_shape_kurt,Flyfft_shape_kurt,Timefft_var,Dwellfft_var,Flyfft_var,Timefft_skew,Dwellfft_skew,Flyfft_skew,Timefft_kurt,Dwellfft_kurt,Flyfft_kurt,Bot
1.9307584149024655,1.4078616818722922,-0.023047421260702257,4.095021091269438,2750.1025163615386,-0.4394524310770948,-1.5882447986326835,181.54545454545453,159.0,0.7817017560331103,0.4329997967439576,2.6243240887762136,3.022198217910579,-0.7567801293093893,14.220409850561511,522.2731224044618,0.6564268318520419,-0.9240583234368254,108.33333333333333,64,0.275772718819764,0.0663027570195398,6.379928025767929,7.579628976330043,-13.64504857619961,157.42738724268594,9661.82790475487,2.005664966769113,2.906971598772273,38.30434782608695,93.0,0.5064644386173943,-1.231302252740424,0
0.0,0.0,0.0,-0.21428571428571427,0.0,0.0,-3.0,199.0,14.0,,,0.0,0.0,0.0,-0.05207360308828227,0.0,0.0,-3.0,139.66666666666666,63,-1.4391746907145087,,0.5056868048660965,0.24996766025041495,-0.002843034613357646,0.01023798081285535,0.42598875555484395,-1.6371817060558966e-14,-1.9999999999999998,49.2,69.0,1.0911568658315038,1.8402904691325457,0
1.4582702243100174,1.187046483534623,0.04390323791434668,2.401945720378593,8963.477267823318,-0.6945540827691944,-0.9807655829133646,344.5,1295.0,2.7910013052892486,7.837692155948984,1.71434224390598,1.040902643045963,-0.6328003575614343,2.365723541013293,2036.5370964154474,0.7172767302107286,-0.8820378546590462,115.0,72,-0.061380990474363475,-1.7653736090109824,9.763805385589905,40.94987955464652,13.038624346658974,2831.3340442204135,108276.50674893372,-0.5407277748775531,-0.7058236913813825,89.09302325581395,830.0,4.239532686740516,21.773295918059592,0
4.757600812067548,9.084721730255204,6.49335615207417,167.26544642812857,128268.5916101695,0.9582706263450981,0.2659665852104953,229.22727272727272,523.0,1.5400679693967758,1.2760704085896162,4.862078238007504,10.080137718427697,-2.182670992067891,173.9317770616756,1542.5905441405378,0.7696705372459972,-0.632396946971447,105.0,111,-0.9992657785105971,1.1853377746205043,10.113655777987788,45.82792397002039,46.589161469842686,3367.1664113478864,61229.49279269104,0.5003217967507992,-0.438414182475793,62.86666666666667,383.0,2.524344626202247,6.713652558341964,0
0.0,0.0,0.0,0.0,,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0,,,0.0,0.0,0.0,-2.9999999999999987,0.0,0.0,-3.0,0.3333333333333333,1.0,1.732050807568878,,0
0.0,0.0,0.0,-0.004913960416861843,0.0,0.0,-3.0,372.0,612.0,1.7319096531641187,,0.4833532100949075,0.24972288438585571,0.008314168781730085,0.03719868479130726,15.414927452115666,0.0,-2.0,84.5,137,-1.3752983900208446,2.078321645122477,1.0290598466020975,0.7090755883731946,-0.032781577184945676,0.705192870792872,3565.935231046671,-0.31437310679444036,-1.500000000000002,123.85714285714286,642.0,2.5517667308397076,6.623886107302042,0
0.0,0.0,0.0,0.0,,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0,,,0.0,0.0,0.0,-2.9999999999999987,0.0,0.0,-3.0,0.3333333333333333,1.0,1.732050807568878,,0
3.5245367800889595,6.206409956813403,-2.2372678981510243,66.1343613258466,17719.66734089113,0.18621734983715169,-0.7480488133427481,187.64705882352942,326.0,1.4863453805904425,4.001686099095361,3.4879904304091447,6.232569130893996,5.465421969771257,67.5151094903469,3202.818438504673,1.229217323244721,0.8053183165536124,104.83333333333333,96,-0.39022867666358,-0.6650043728059418,8.243295604179469,25.150024010648004,-8.927060264930411,1144.9992382390658,10326.581845314395,0.17932777298931893,-1.0679973246274799,44.285714285714285,193.0,1.5570003453932535,3.487500293623971,0
0.0,0.0,0.0,-0.008031300971820763,0.0,0.0,-3.0,339.3333333333333,394.0,1.6475988841243216,,0.13896918773233963,0.11965675259335339,0.0863995491641777,0.0009021621430617504,816.6516973494477,0.0,-2.0,72.25,66,0.5092430084807728,-0.016531634875281753,1.0037976050150612,0.6794969859233139,-0.0039438332376376456,0.6707425975826478,89.41031826513104,-0.6180876380592434,-1.4999999999999993,130.71428571428572,376.0,2.420387177975162,6.118382739149185,0
0.0,0.0,0.0,-0.008021304356058072,0.0,0.0,-3.0,358.6666666666667,375.0,1.731883645400527,,0.738304791571249,0.1932108263141837,-0.09208613138822065,0.0021154712879495295,326.71586924418216,6.160341959695851e-16,-1.9999999999999998,88.5,42,-0.13258501243722187,-1.1792310785661506,0.9797547172483584,0.6118646740873356,0.016925135210152823,0.603990364238262,1887.240842868273,0.5692596231928919,-1.5000000000000018,130.42857142857142,390.0,2.5386598147159414,6.561937094600593,0
0.0,0.0,0.0,0.0,,,,-481.0,0.0,,,0.0,0.0,0.0,-0.0967741935483871,0.0,0.0,-3.0,-496.5,31,,,0.0,0.0,0.0,-0.006666666666666667,0.0,0.0,-3.0,256.0,450.0,,,0
