Time_Acc,Acc_x,Acc_y,Acc_z,Time_Gra,Gra_x,Gra_y,Gra_z,Time_Gyr,Gyr_x,Gyr_y,Gyr_z,Time_Light,Light,Time_LAcc,LAcc_x,LAcc_y,LAcc_z,Time_Mag,Mag_x,Mag_y,Mag_z,Time_Pres,Pres,Time_Prox,Prox,Time_ReHum,ReHum,Time_Rov,Rov_w,Rov_x,Rov_y,Rov_z,Time_SteCou,SteCou,Time_TSD,TSD_value,id,scenario,behavior,class
1510572035385.0,-0.40585327,-0.017486572,9.424301,1510572035396.0,-0.41225436,-0.015455559,9.797969,1510572035395.0,0.0004119873,0.0010528564,-0.0006713867,0,0,1510572035397.0,-0.009066552,-0.0026109014,-0.0060510635,1510572035421.0,-24.214172,13.0355835,-41.97693,1510572035418.0,1015.4819,0,0,0,0,1510572035397.0,0.011899458,0.017350024,-0.59596944,0.80273145,0,0,0,0,0,0,0,0
1510572035515.0,-0.42965698,-0.017486572,9.48143,1510572035530.0,-0.42017108,-0.017503027,9.797629,1510572035529.0,-0.00065612793,0.0010528564,-0.0006713867,0,0,1510572035530.0,-0.024408728,-0.0006051846,0.03177452,1510572035551.0,-23.695374,11.830139,-40.463257,1510572035540.0,1015.4919,0,0,0,0,1510572035531.0,0.011929692,0.01782204,-0.59022886,0.80695105,0,0,0,0,0,0,0,0
1510572035645.0,-0.38919067,-0.01272583,9.433823,1510572035659.0,-0.41832504,-0.013951766,9.797714,1510572035655.0,0.0004119873,-1.5258789e-05,-0.001739502,0,0,1510572035659.0,0.014493555,0.00073764287,-0.02098465,1510572035680.0,-23.52295,13.380432,-39.95819,1510572035671.0,1015.4919,0,0,0,0,1510572035659.0,0.011903951,0.0177178,-0.58490825,0.81081855,0,0,0,0,0,0,0,0
1510572035776.0,-0.44869995,0.0063171387,9.498093,1510572035786.0,-0.42354348,-0.010120968,9.797494,1510572035785.0,-0.00065612793,-0.001083374,-0.0006713867,0,0,1510572035787.0,-0.03979194,0.016088378,0.039149284,1510572035811.0,-23.348999,12.174988,-40.463257,1510572035800.0,1015.50183,0,0,0,0,1510572035787.0,0.012143868,0.017870145,-0.58152455,0.8132419,0,0,0,0,0,0,0,0
1510572035906.0,-0.42489624,-0.0317688,9.48381,1510572035922.0,-0.42177466,-0.014618429,9.7975645,1510572035917.0,-0.00065612793,0.0021209717,0.00039672852,0,0,1510572035923.0,-0.01750514,-0.017648894,0.020366669,1510572035944.0,-24.386597,13.208008,-41.471863,1510572035934.0,1015.50183,0,0,0,0,1510572035923.0,0.011909975,0.017926715,-0.5817599,0.8130758,0,0,0,0,0,0,0,0
1510572036037.0,-0.3796692,0.0015563965,9.47905,1510572036050.0,-0.42596382,-0.013433044,9.797385,1510572036049.0,-0.00065612793,0.0010528564,-0.001739502,0,0,1510572036050.0,0.030998766,0.014507076,0.03347683,1510572036071.0,-25.424194,11.140442,-41.13617,1510572036068.0,1015.50183,0,0,0,0,1510572036051.0,0.012083803,0.018065168,-0.58177054,0.81306255,0,0,0,0,0,0,0,0
1510572036167.0,-0.44869995,-0.0008239746,9.462387,1510572036178.0,-0.43241295,-0.014922125,9.797101,1510572036177.0,-0.0017242432,-1.5258789e-05,-0.0028076172,0,0,1510572036179.0,-0.031606644,0.013569485,0.0123806,1510572036202.0,-24.040222,13.552856,-40.800476,1510572036198.0,1015.50183,0,0,0,0,1510572036180.0,0.012218469,0.01837367,-0.5819854,0.8128998,0,0,0,0,0,0,0,0
1510572036297.0,-0.410614,0.020599365,9.460007,1510572036309.0,-0.4273401,-0.012078869,9.797327,1510572036308.0,-0.00065612793,-0.0021514893,-0.0006713867,0,0,1510572036310.0,0.001611948,0.03225103,0.009190559,1510572036335.0,-25.250244,12.347412,-40.631104,1510572036325.0,1015.50183,0,0,0,0,1510572036310.0,0.012179636,0.018082889,-0.5817162,0.8130996,0,0,0,0,0,0,0,0
1510572036427.0,-0.42965698,-0.015106201,9.436203,1510572036439.0,-0.4325781,-0.011589244,9.797098,1510572036437.0,-0.00065612793,0.0010528564,-0.0006713867,0,0,1510572036440.0,-0.012689263,-0.003935176,-0.0073490143,1510572036462.0,-24.732971,14.242554,-40.127563,1510572036454.0,1015.4919,0,0,0,0,1510572036440.0,0.012357157,0.018284561,-0.5817889,0.8130404,0,0,0,0,0,0,0,0
1510572036557.0,-0.39395142,-0.038909912,9.469528,1510572036568.0,-0.4293408,-0.013316232,9.797238,1510572036567.0,-0.00065612793,-0.001083374,0.0014648438,0,0,1510572036569.0,0.020171136,-0.026065681,0.019558907,1510572036592.0,-24.905396,13.380432,-40.968323,1510572036585.0,1015.4919,0,0,0,0,1510572036569.0,0.012190274,0.018200912,-0.58182937,0.8130158,0,0,0,0,0,0,0,0
