Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
12,1,1520218061168,461,912,492,776,482,932,440,892,1,0,1
0,2,1520218061180,461,912,492,776,482,932,440,892,1,0,1
0,1,1520218061201,464,913,492,776,482,932,440,892,1,0,1
0,1,1520218061203,464,913,492,776,482,932,440,892,1,0,1
0,1,1520218061217,465,914,492,776,482,932,440,892,1,0,1
0,1,1520218061219,465,914,492,776,482,932,440,892,1,0,1
0,1,1520218061235,467,915,492,776,482,932,440,892,1,0,1
0,1,1520218061236,467,915,492,776,482,932,440,892,1,0,1
0,1,1520218061251,472,916,492,776,482,932,440,892,1,0,1
0,1,1520218061253,472,916,492,776,482,932,440,892,1,0,1
0,1,1520218061268,475,917,492,776,482,932,440,892,1,0,1
0,1,1520218061269,475,917,492,776,482,932,440,892,1,0,1
0,1,1520218061285,478,918,492,776,482,932,440,892,1,0,1
0,1,1520218061286,478,918,492,776,482,932,440,892,1,0,1
0,1,1520218061302,479,919,492,776,482,932,440,892,1,0,1
0,1,1520218061303,479,919,492,776,482,932,440,892,1,0,1
0,1,1520218061318,481,920,492,776,482,932,440,892,1,0,1
0,1,1520218061319,481,920,492,776,482,932,440,892,1,0,1
0,1,1520218061335,483,921,492,776,482,932,440,892,1,0,1
0,1,1520218061336,483,921,492,776,482,932,440,892,1,0,1
0,1,1520218061352,487,922,492,776,482,932,440,892,1,0,1
0,1,1520218061353,487,922,492,776,482,932,440,892,1,0,1
0,1,1520218061368,492,923,492,776,482,932,440,892,1,0,1
0,1,1520218061369,492,923,492,776,482,932,440,892,1,0,1
0,1,1520218061385,496,924,492,776,482,932,440,892,1,0,1
0,1,1520218061386,496,924,492,776,482,932,440,892,1,0,1
0,1,1520218061401,500,925,492,776,482,932,440,892,1,0,1
0,1,1520218061403,500,925,492,776,482,932,440,892,1,0,1
0,1,1520218061418,501,926,492,776,482,932,440,892,1,0,1
0,1,1520218061420,501,926,492,776,482,932,440,892,1,0,1
0,1,1520218061435,502,927,492,776,482,932,440,892,1,0,1
0,1,1520218061437,502,927,492,776,482,932,440,892,1,0,1
0,1,1520218061452,507,928,492,776,482,932,440,892,1,0,1
0,1,1520218061452,507,928,492,776,482,932,440,892,1,0,1
0,1,1520218061468,508,929,492,776,482,932,440,892,1,0,1
0,1,1520218061470,508,929,492,776,482,932,440,892,1,0,1
0,1,1520218061485,509,930,492,776,482,932,440,892,1,0,1
0,1,1520218061485,509,930,492,776,482,932,440,892,1,0,1
0,1,1520218061502,513,931,492,776,482,932,440,892,1,0,1
0,1,1520218061502,513,931,492,776,482,932,440,892,1,0,1
0,1,1520218061519,510,932,492,776,482,932,440,892,1,0,1
0,1,1520218061520,510,932,492,776,482,932,440,892,1,0,1
13,3,1520218061532,510,932,492,776,482,932,440,892,1,0,1
