WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
2.1.1.7,make Habit book list,2019/1/14 上午8:15,2019/1/19 上午11:00,1 周 4 天 5 小时 45 分,3 天,0%,￥1.00,Off work,,,,,2019/1/11 上午7:00,,2.1.1.6,,0,￥1.00,￥2.00
2.1.1.8,Habit  list finish,2019/1/19 上午11:00,2019/1/19 上午11:00,,,0%,,Off work,,,,,2019/1/12 上午7:00,,2.1.1.7,,,￥1.00,￥1.00
2.1.1.9,make wealth book list,2019/1/19 上午11:00,2019/1/20 下午7:00,2 天 6 小时,3 天,0%,￥1.00,Off work,,,,,2019/1/12 上午7:00,,2.1.1.8,,0,￥1.00,￥2.00
2.1.1.10,wealth book list finish,2019/1/20 下午7:00,2019/1/20 下午7:00,,,0%,,Off work,,,,,2019/1/17 上午7:00,,2.1.1.9,,,￥1.00,￥1.00
2.1.1.11,make Entertaining  book list,2019/1/20 下午7:00,2019/1/25 下午9:45,1 周 4 天 5 小时 45 分,3 天,0%,￥1.00,Off work,,,,,2019/1/17 上午7:00,,2.1.1.10,,0,￥1.00,￥2.00
2.1.1.12,Entertaining book list finish,2019/1/25 下午9:45,2019/1/25 下午9:45,,,0%,,Off work,,,,,2019/1/19 上午7:00,,2.1.1.11,,,￥1.00,￥1.00
2.1.1.13,make Professional book list,2019/1/25 下午9:45,2019/1/27 下午1:45,2 天 6 小时,3 天,1%,￥1.00,Off work,,,,,2019/1/19 上午7:00,,2.1.1.12,,0,￥1.00,￥2.00
2.1.1.14,Professional book list finish,2019/1/27 下午1:45,2019/1/27 下午1:45,,,0%,,Off work,,,,,2019/1/22 上午7:00,,2.1.1.13,,,￥1.00,￥1.00
2.1.2,Fiction&Novel,2018/12/5 上午8:00,2019/2/24 下午8:30,7 月 2 周 3 天 2 小时 30 分,2 月 1 周 4 天 6 小时,32%,￥46.00,,,,,,2018/12/5 上午8:00,,,,,￥143.00,￥189.00
2.1.2.1,Russia,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.1.2.2,France,2019/1/28 下午9:00,2019/2/5 上午7:45,2 周 3 天 3 小时 45 分,1 周 2 天,0%,,,,,,,2018/12/5 上午8:00,,,,,￥14.00,￥14.00
2.1.2.2.1,莫泊桑短篇小说选,2019/1/28 下午9:00,2019/2/5 上午7:45,2 周 3 天 3 小时 45 分,1 周 2 天,0%,,,,,,,2019/1/2 上午7:00,,,,,￥14.00,￥14.00
2.1.2.2.1.1,MBS@第一章 1～9,2019/1/28 下午9:00,2019/1/30 上午8:45,2 天 2 小时 45 分,1 天,0%,,Off work,,,,,2019/1/28 下午8:00,,,,0,￥1.00,￥1.00
2.1.2.2.1.2,第一章@ MBS finish,2019/1/30 上午8:45,2019/1/30 上午8:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.1,,,￥1.00,￥1.00
2.1.2.2.1.3,MBS@第二章,2019/1/30 上午8:45,2019/2/1 上午8:15,3 天 5 小时 30 分,1 天,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.2,,0,￥1.00,￥1.00
2.1.2.2.1.4,第二章@ MBS finish,2019/2/1 上午8:15,2019/2/1 上午8:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.3,,,￥1.00,￥1.00
2.1.2.2.1.5,MBS@第三章,2019/2/1 上午8:15,2019/2/2 下午12:00,2 天 2 小时 45 分,1 天,0%,,Off work,,,,,2019/1/6 下午8:00,,2.1.2.2.1.4,,0,￥1.00,￥1.00
2.1.2.2.1.6,第三章@ MBS finish,2019/2/2 下午12:00,2019/2/2 下午12:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.5,,,￥1.00,￥1.00
2.1.2.2.1.7,MBS@第四章,2019/2/2 下午12:00,2019/2/2 下午8:00,7 小时,1 天,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.6,,0,￥1.00,￥1.00
2.1.2.2.1.8,第四章@ MBS finish,2019/2/2 下午8:00,2019/2/2 下午8:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.7,,,￥1.00,￥1.00
2.1.2.2.1.9,MBS@第五章,2019/2/2 下午8:00,2019/2/3 下午12:00,1 天,1 天,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.8,,0,￥1.00,￥1.00
2.1.2.2.1.10,第五章@ MBS finish,2019/2/3 下午12:00,2019/2/3 下午12:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.9,,,￥1.00,￥1.00
