WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
2.1.2.4.1.11,KBJDCS@第六章,2019/1/6 下午10:30,2019/1/6 下午11:00,30 分,30 分,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.10,,0,￥1.00,￥1.00
2.1.2.4.1.12,第六章@KBJDCS finish,2019/1/6 下午11:00,2019/1/6 下午11:00,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.11,,,￥1.00,￥1.00
2.1.2.4.1.13,KBJDCS@第七章,2019/1/7 上午7:00,2019/1/7 上午7:30,30 分,30 分,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.12,,0,￥1.00,￥1.00
2.1.2.4.1.14,第七章@KBJDCS finish,2019/1/7 上午7:30,2019/1/7 上午7:30,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.13,,,￥1.00,￥1.00
2.1.2.4.1.15,KBJDCS@第八章,2019/1/7 上午7:30,2019/1/7 上午8:00,30 分,30 分,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.14,,0,￥1.00,￥1.00
2.1.2.4.1.16,第八章@KBJDCS finish,2019/1/7 上午8:00,2019/1/7 上午8:00,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.15,,,￥1.00,￥1.00
2.1.2.4.1.17,KBJDCS@第九章,2019/1/7 上午8:00,2019/1/7 上午9:00,1 小时,1 小时,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.16,,0,￥1.00,￥1.00
2.1.2.4.1.18,第九章@KBJDCS finish,2019/1/7 上午9:00,2019/1/7 上午9:00,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.4.1.17,,,￥1.00,￥1.00
2.1.2.4.2,不存在的骑士,2019/1/8 上午7:00,2019/1/8 下午10:15,1 天 6 小时 15 分,3 小时 30 分,100%,￥6.00,,,,,,2019/1/8 上午7:00,,,,,￥12.00,￥18.00
2.1.2.4.2.1,BCZDQS@第一、 二章,2019/1/8 上午7:00,2019/1/8 上午8:00,1 小时,1 小时,100%,￥1.00,Off work,,,,,2019/1/7 上午7:00,,,,0,￥1.00,￥2.00
2.1.2.4.2.2,第一、 二章@BCZDQS finish,2019/1/8 上午8:00,2019/1/8 上午8:00,,,100%,,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.1,,,￥1.00,￥1.00
2.1.2.4.2.3,BCZDQS@第三、 四章,2019/1/8 上午8:00,2019/1/8 上午8:30,30 分,30 分,100%,￥1.00,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.2,,0,￥1.00,￥2.00
2.1.2.4.2.4,第三、 四章@BCZDQS finish,2019/1/8 上午8:30,2019/1/8 上午8:30,,,100%,,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.3,,,￥1.00,￥1.00
2.1.2.4.2.5,BCZDQS@第五、 六章,2019/1/8 上午8:30,2019/1/8 上午9:00,30 分,30 分,100%,￥1.00,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.4,,0,￥1.00,￥2.00
2.1.2.4.2.6,第五、 六章@BCZDQS finish,2019/1/8 上午9:00,2019/1/8 上午9:00,,,100%,,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.5,,,￥1.00,￥1.00
2.1.2.4.2.7,BCZDQS@第七、 八章,2019/1/8 上午9:00,2019/1/8 下午9:15,1 天 3 小时 15 分,30 分,100%,￥1.00,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.6,,0,￥1.00,￥2.00
2.1.2.4.2.8,第七、 八章@BCZDQS finish,2019/1/8 下午9:15,2019/1/8 下午9:15,,,100%,,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.7,,,￥1.00,￥1.00
2.1.2.4.2.9,BCZDQS@第九、 十章,2019/1/8 下午9:15,2019/1/8 下午9:45,30 分,30 分,100%,￥1.00,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.8,,0,￥1.00,￥2.00
2.1.2.4.2.10,第九、 十章@BCZDQS finish,2019/1/8 下午9:45,2019/1/8 下午9:45,,,100%,,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.9,,,￥1.00,￥1.00
2.1.2.4.2.11,BCZDQS@第十一、 十二章,2019/1/8 下午9:45,2019/1/8 下午10:15,30 分,30 分,100%,￥1.00,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.10,,0,￥1.00,￥2.00
2.1.2.4.2.12,第十一、 十二章@BCZDQS finish,2019/1/8 下午10:15,2019/1/8 下午10:15,,,100%,,Off work,,,,,2019/1/7 上午7:00,,2.1.2.4.2.11,,,￥1.00,￥1.00
2.1.2.5,Chinese&Asia,2019/2/11 上午7:00,2019/2/12 上午7:45,1 天 7 小时 45 分,5 小时,0%,,,,,,,2018/12/5 上午8:00,,,,,￥18.00,￥18.00
2.1.2.5.1,山月记,2019/2/11 上午7:00,2019/2/12 上午7:45,1 天 7 小时 45 分,5 小时,0%,,,,,,,2019/2/11 上午7:00,,,,,￥18.00,￥18.00
2.1.2.5.1.1,SYJ@第一章,2019/2/11 上午7:00,2019/2/11 上午7:30,30 分,30 分,0%,,Off work,,,,,2019/1/6 下午8:00,,,,0,￥1.00,￥1.00
2.1.2.5.1.2,第一章@ SYJ finish,2019/2/11 上午7:30,2019/2/11 上午7:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.1,,,￥1.00,￥1.00
2.1.2.5.1.3,SYJ@第二章,2019/2/11 上午7:30,2019/2/11 上午8:00,30 分,30 分,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.2,,0,￥1.00,￥1.00
2.1.2.5.1.4,第二章@ SYJ finish,2019/2/11 上午8:00,2019/2/11 上午8:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.3,,,￥1.00,￥1.00
2.1.2.5.1.5,SYJ@第三章,2019/2/11 上午8:00,2019/2/11 上午8:30,30 分,30 分,0%,,Off work,,,,,2019/1/6 下午8:00,,2.1.2.5.1.4,,0,￥1.00,￥1.00
2.1.2.5.1.6,第三章@ SYJ finish,2019/2/11 上午8:30,2019/2/11 上午8:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.5,,,￥1.00,￥1.00
2.1.2.5.1.7,SYJ@第四章,2019/2/11 上午8:30,2019/2/11 上午9:00,30 分,30 分,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.6,,0,￥1.00,￥1.00
2.1.2.5.1.8,第四章@ SYJ finish,2019/2/11 上午9:00,2019/2/11 上午9:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.7,,,￥1.00,￥1.00
2.1.2.5.1.9,SYJ@第五章,2019/2/11 上午9:00,2019/2/11 下午9:15,1 天 3 小时 15 分,30 分,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.8,,0,￥1.00,￥1.00
2.1.2.5.1.10,第五章@ SYJ finish,2019/2/11 下午9:15,2019/2/11 下午9:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.9,,,￥1.00,￥1.00
2.1.2.5.1.11,SYJ@第六章,2019/2/11 下午9:15,2019/2/11 下午9:45,30 分,30 分,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.10,,0,￥1.00,￥1.00
2.1.2.5.1.12,第六章@ SYJ finish,2019/2/11 下午9:45,2019/2/11 下午9:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.11,,,￥1.00,￥1.00
2.1.2.5.1.13,SYJ@第七章,2019/2/11 下午9:45,2019/2/11 下午10:15,30 分,30 分,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.12,,0,￥1.00,￥1.00
2.1.2.5.1.14,第七章@ SYJ finish,2019/2/11 下午10:15,2019/2/11 下午10:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.13,,,￥1.00,￥1.00
2.1.2.5.1.15,SYJ@第八章,2019/2/11 下午10:15,2019/2/11 下午10:45,30 分,30 分,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.14,,0,￥1.00,￥1.00
2.1.2.5.1.16,第八章@ SYJ finish,2019/2/11 下午10:45,2019/2/11 下午10:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.15,,,￥1.00,￥1.00
2.1.2.5.1.17,SYJ@第九章,2019/2/11 下午10:45,2019/2/12 上午7:45,1 小时,1 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.16,,0,￥1.00,￥1.00
2.1.2.5.1.18,第九章@ SYJ finish,2019/2/12 上午7:45,2019/2/12 上午7:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.5.1.17,,,￥1.00,￥1.00
2.1.2.6,Book Club recommendation,2018/12/5 上午8:00,2018/12/29 下午2:00,2 月 1 周 5 小时,3 周 30 分,100%,￥14.00,,,,,,2018/12/5 上午8:00,,,,,￥29.00,￥43.00
2.1.2.6.1,浮生梦,2018/12/17 上午7:00,2018/12/21 上午7:30,1 周 2 天 4 小时 30 分,2 天 1 小时 30 分,100%,￥5.00,,,,,,2018/12/17 上午7:00,,,,,￥10.00,￥15.00
2.1.2.6.1.1,FSM@1～6,2018/12/17 上午7:00,2018/12/17 上午8:30,1 小时 30 分,1 小时 30 分,100%,￥1.00,Off work,,,,,2018/12/17 上午7:00,,,,0,￥1.00,￥2.00
2.1.2.6.1.2,finish 1～6@FSM,2018/12/17 上午8:30,2018/12/17 上午8:30,,,100%,,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.1,,,￥1.00,￥1.00
2.1.2.6.1.3,FSM@6～12,2018/12/17 上午8:30,2018/12/18 上午8:15,1 天 6 小时 45 分,4 小时,100%,￥1.00,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.2,,0,￥1.00,￥2.00
2.1.2.6.1.4,finish 6～12@FSM,2018/12/18 上午8:15,2018/12/18 上午8:15,,,100%,,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.3,,,￥1.00,￥1.00
2.1.2.6.1.5,FSM@12～17,2018/12/18 上午8:15,2018/12/19 上午8:00,1 天 6 小时 45 分,4 小时,100%,￥1.00,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.4,,0,￥1.00,￥2.00
2.1.2.6.1.6,finish 12～17@FSM,2018/12/19 上午8:00,2018/12/19 上午8:00,,,100%,,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.5,,,￥1.00,￥1.00
2.1.2.6.1.7,FSM@17～23,2018/12/19 上午8:00,2018/12/20 上午7:45,1 天 6 小时 45 分,4 小时,100%,￥1.00,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.6,,0,￥1.00,￥2.00
2.1.2.6.1.8,finish 17～23@FSM,2018/12/20 上午7:45,2018/12/20 上午7:45,,,100%,,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.7,,,￥1.00,￥1.00
2.1.2.6.1.9,FSM@23～26,2018/12/20 上午7:45,2018/12/21 上午7:30,1 天 6 小时 45 分,4 小时,100%,￥1.00,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.8,,0,￥1.00,￥2.00
2.1.2.6.1.10,finish 23～26@FSM,2018/12/21 上午7:30,2018/12/21 上午7:30,,,100%,,Off work,,,,,2018/12/17 上午7:00,,2.1.2.6.1.9,,,￥1.00,￥1.00
2.1.2.6.2,局外人 加缪,2018/12/5 上午8:00,2018/12/8 下午3:15,1 周 1 天 3 小时 15 分,2 天 4 小时,100%,￥1.00,Off work,,,,,2018/12/5 上午8:00,,,,0,￥1.00,￥2.00
2.1.2.6.3,完成阅读并分享心得@局外人,2018/12/15 下午3:15,2018/12/15 下午3:15,,,100%,,Off work,,,,,2018/12/15 下午3:15,,2.1.2.6.2,,,￥1.00,￥1.00
2.1.2.6.4,1984,2018/12/11 上午8:00,2018/12/16 下午3:00,2 周 1 小时,1 周,100%,￥1.00,Off work,,,,,2018/12/11 上午8:00,,,,0,￥1.00,￥2.00
2.1.2.6.5,完成1984心得与记录,2018/12/16 下午3:00,2018/12/16 下午3:00,,,100%,,Off work,,,,,2018/12/16 上午7:00,,"2.1.2.6.3, 2.1.2.6.4",,,￥1.00,￥1.00
2.1.2.6.6,百年孤独,2018/12/24 上午7:00,2018/12/29 下午2:00,2 周 1 小时,3 天 3 小时,100%,￥6.00,,,,,,2018/12/23 上午7:00,,2.1.2.6.5,,,￥13.00,￥19.00
2.1.2.6.6.1,BNGD@1～4,2018/12/24 上午7:00,2018/12/24 上午9:00,2 小时,2 小时,100%,￥1.00,Off work,,,,,2018/12/24 上午7:00,,,,0,￥1.00,￥2.00
2.1.2.6.6.2,finish 1，2，3@BNGD,2018/12/24 上午9:00,2018/12/24 上午9:00,,,100%,,Off work,,,,,2018/12/24 上午7:00,,2.1.2.6.6.1,,,￥1.00,￥1.00
2.1.2.6.6.3,BNGD@4～7,2018/12/24 上午9:00,2018/12/25 上午8:45,1 天 6 小时 45 分,4 小时,100%,￥1.00,Off work,,,,,2018/12/24 上午7:00,,2.1.2.6.6.2,,0,￥1.00,￥2.00
2.1.2.6.6.4,finish 4， 5， 6@BNGD,2018/12/25 上午8:45,2018/12/25 上午8:45,,,100%,,Off work,,,,,2018/12/25 上午7:00,,2.1.2.6.6.3,,,￥1.00,￥1.00
2.1.2.6.6.5,BNGD@7～10,2018/12/25 上午8:45,2018/12/26 上午7:30,1 天 5 小时 45 分,3 小时,100%,￥1.00,Off work,,,,,2018/12/25 上午7:00,,2.1.2.6.6.4,,0,￥1.00,￥2.00
2.1.2.6.6.6,finish 7， 8，9@BNGD,2018/12/26 上午8:45,2018/12/26 上午8:45,,,100%,,Off work,,,,,2018/12/26 上午8:45,,2.1.2.6.6.5,,,￥1.00,￥1.00
2.1.2.6.6.7,BNGD@10～13,2018/12/26 上午8:45,2018/12/27 上午8:30,1 天 6 小时 45 分,4 小时,100%,￥1.00,Off work,,,,,2018/12/26 上午7:00,,2.1.2.6.6.6,,0,￥1.00,￥2.00
2.1.2.6.6.8,finish 10， 11， 12@BNGD,2018/12/27 上午8:30,2018/12/27 上午8:30,,,100%,,Off work,,,,,2018/12/26 上午7:00,,2.1.2.6.6.7,,,￥1.00,￥1.00
2.1.2.6.6.9,BNGD@13～17,2018/12/27 上午8:30,2018/12/28 下午10:00,3 天 3 小时 30 分,6 小时,100%,￥1.00,Off work,,,,,2018/12/27 上午7:00,,2.1.2.6.6.8,,0,￥1.00,￥2.00
2.1.2.6.6.10,finish 13， 14 15， 16@BNGD,2018/12/28 下午10:00,2018/12/28 下午10:00,,,100%,,Off work,,,,,2018/12/28 上午7:00,,2.1.2.6.6.9,,,￥1.00,￥1.00
2.1.2.6.6.11,BNGD@17～20,2018/12/28 下午10:00,2018/12/29 下午2:00,7 小时,1 天,100%,￥1.00,Off work,,,,,2018/12/28 上午7:00,,2.1.2.6.6.10,,0,￥1.00,￥2.00
2.1.2.6.6.12,finish 17， 18，19，20@BNGD,2018/12/29 下午2:00,2018/12/29 下午2:00,,,100%,,Off work,,,,,2018/12/28 上午7:00,,2.1.2.6.6.11,,,￥1.00,￥1.00
2.1.2.6.6.13,完成百年孤独心得与记录,2018/12/29 下午2:00,2018/12/29 下午2:00,,,100%,,Off work,,,,,2018/12/29 上午9:50,,2.1.2.6.6.12,,,￥1.00,￥1.00
2.1.2.6.7,昨日之旅,2018/12/24 上午7:00,2018/12/27 下午10:00,1 周 2 天 3 小时,2 天,100%,￥1.00,Off work,,,,,2018/12/24 上午7:00,,,,0,￥1.00,￥2.00
2.1.2.6.8,完成昨日之旅详细的读书笔记与心得记录,2018/12/27 下午10:00,2018/12/27 下午10:00,,,100%,,Off work,,,,,2018/12/24 上午7:00,,2.1.2.6.7,,,￥1.00,￥1.00
2.1.3,History,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.1.4,Traditional Classical,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.1.5,Tang to Qing,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.2,Skill Learning,2018/12/5 上午8:00,2019/2/25 上午8:00,7 月 2 周 3 天 6 小时,2 周 4 天,10%,￥5.00,,,,,,2018/12/5 上午8:00,,,,,￥48.00,￥53.00
2.2.1,Management&Method,2018/12/5 上午8:00,2019/2/25 上午8:00,7 月 2 周 3 天 6 小时,2 周 4 天,10%,￥5.00,,,,,,2018/12/5 上午8:00,,,,,￥48.00,￥53.00
2.2.1.1,Project Management,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.2.1.2,Team Management,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.2.1.3,Time Management,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.2.1.4,Self  Management,2019/1/2 上午7:00,2019/1/20 下午4:30,1 月 2 周 4 天 6 小时 30 分,2 周 2 天 4 小时,6%,￥5.00,,,,,,2018/12/11 上午8:00,,,,,￥41.00,￥46.00
2.2.1.4.1,人生十论,2019/1/2 上午7:00,2019/1/15 下午9:15,1 月 1 周 1 天 15 分,1 周 2 天 4 小时,10%,,,,,,,2019/1/2 上午7:00,,,,,￥30.00,￥30.00
2.2.1.4.1.1,RSSL@第一章,2019/1/2 上午7:00,2019/1/2 下午10:45,1 天 6 小时 45 分,4 小时,100%,,Off work,,,,,2019/1/2 上午7:00,,,,0,￥1.00,￥1.00
2.2.1.4.1.2,第一章@RSSL finish,2019/1/2 下午10:45,2019/1/2 下午10:45,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.1,,,￥1.00,￥1.00
2.2.1.4.1.3,RSSL@第二章,2019/1/7 下午10:45,2019/1/8 下午10:30,1 天 6 小时 45 分,4 小时,50%,,Off work,,,,,2019/1/7 下午10:45,,2.2.1.4.1.2,,0,￥1.00,￥1.00
2.2.1.4.1.4,第二章@RSSL finish,2019/1/8 下午10:30,2019/1/8 下午10:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.3,,,￥1.00,￥1.00
2.2.1.4.1.5,RSSL@第三章,2019/1/8 下午10:30,2019/1/9 下午10:15,1 天 6 小时 45 分,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.4,,0,￥1.00,￥1.00
2.2.1.4.1.6,第三章@RSSL finish,2019/1/9 下午10:15,2019/1/9 下午10:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.5,,,￥1.00,￥1.00
2.2.1.4.1.7,RSSL@第四章,2019/1/9 下午10:15,2019/1/10 下午10:00,1 天 6 小时 45 分,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.6,,0,￥1.00,￥1.00
2.2.1.4.1.8,第四章@RSSL finish,2019/1/10 下午10:00,2019/1/10 下午10:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.7,,,￥1.00,￥1.00
2.2.1.4.1.9,RSSL@第五章,2019/1/10 下午10:00,2019/1/11 下午9:45,1 天 6 小时 45 分,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.8,,0,￥1.00,￥1.00
2.2.1.4.1.10,第五章@RSSL finish,2019/1/11 下午9:45,2019/1/11 下午9:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.9,,,￥1.00,￥1.00
2.2.1.4.1.11,RSSL@第六章,2019/1/11 下午9:45,2019/1/12 上午9:45,4 小时,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.10,,0,￥1.00,￥1.00
2.2.1.4.1.12,第六章@RSSL finish,2019/1/12 上午9:45,2019/1/12 上午9:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.11,,,￥1.00,￥1.00
2.2.1.4.1.13,RSSL@第七章,2019/1/12 上午9:45,2019/1/12 下午1:45,3 小时,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.12,,0,￥1.00,￥1.00
2.2.1.4.1.14,第七章@RSSL finish,2019/1/12 下午1:45,2019/1/12 下午1:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.13,,,￥1.00,￥1.00
2.2.1.4.1.15,RSSL@第八章,2019/1/12 下午1:45,2019/1/12 下午5:45,4 小时,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.14,,0,￥1.00,￥1.00
2.2.1.4.1.16,第八章@RSSL finish,2019/1/12 下午5:45,2019/1/12 下午5:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.15,,,￥1.00,￥1.00
2.2.1.4.1.17,RSSL@第九章,2019/1/12 下午5:45,2019/1/12 下午9:45,4 小时,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.16,,0,￥1.00,￥1.00
2.2.1.4.1.18,第九章@RSSL finish,2019/1/12 下午9:45,2019/1/12 下午9:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.17,,,￥1.00,￥1.00
2.2.1.4.1.19,RSSL@第十章,2019/1/12 下午9:45,2019/1/13 上午9:45,4 小时,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.18,,0,￥1.00,￥1.00
2.2.1.4.1.20,第十章@RSSL finish,2019/1/13 上午9:45,2019/1/13 上午9:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.19,,,￥1.00,￥1.00
2.2.1.4.1.21,RSSL@第十一章,2019/1/13 上午9:45,2019/1/13 下午1:45,3 小时,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.20,,0,￥1.00,￥1.00
2.2.1.4.1.22,第十一章@RSSL finish,2019/1/13 下午1:45,2019/1/13 下午1:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.21,,,￥1.00,￥1.00
2.2.1.4.1.23,RSSL@第十二章,2019/1/13 下午1:45,2019/1/13 下午5:45,4 小时,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.22,,0,￥1.00,￥1.00
2.2.1.4.1.24,第十二章@RSSL finish,2019/1/13 下午5:45,2019/1/13 下午5:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.23,,,￥1.00,￥1.00
2.2.1.4.1.25,RSSL@第十三章,2019/1/13 下午5:45,2019/1/13 下午9:45,4 小时,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.24,,0,￥1.00,￥1.00
2.2.1.4.1.26,第十三章@RSSL finish,2019/1/13 下午9:45,2019/1/13 下午9:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.25,,,￥1.00,￥1.00
2.2.1.4.1.27,RSSL@第十四章,2019/1/13 下午9:45,2019/1/14 下午9:30,1 天 6 小时 45 分,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.26,,0,￥1.00,￥1.00
2.2.1.4.1.28,第十四章@RSSL finish,2019/1/14 下午9:30,2019/1/14 下午9:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.27,,,￥1.00,￥1.00
2.2.1.4.1.29,RSSL@第十五章,2019/1/14 下午9:30,2019/1/15 下午9:15,1 天 6 小时 45 分,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.28,,0,￥1.00,￥1.00
2.2.1.4.1.30,第十五章@RSSL finish,2019/1/15 下午9:15,2019/1/15 下午9:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.4.1.29,,,￥1.00,￥1.00
2.2.1.4.2,自控力,2019/1/15 下午9:15,2019/1/20 下午4:30,1 周 3 天 6 小时 15 分,1 周,0%,￥5.00,,,,,,2019/1/9 上午8:00,,2.2.1.4.1,,,￥11.00,￥16.00
2.2.1.4.2.1,ZKL@CH1 & CH2,2019/1/15 下午9:15,2019/1/17 上午9:00,2 天 2 小时 45 分,1 天,0%,￥1.00,Off work,,,,,2019/1/7 上午8:00,,,,0,￥1.00,￥2.00
2.2.1.4.2.2,CH1 & CH2 finish@ZKL,2019/1/17 上午9:00,2019/1/17 上午9:00,,,0%,,Off work,,,,,2019/1/10 上午7:00,,2.2.1.4.2.1,,,￥1.00,￥1.00
2.2.1.4.2.3,ZKL@CH3 & CH4,2019/1/17 上午9:00,2019/1/19 上午8:30,3 天 5 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/11 上午7:00,,2.2.1.4.2.2,,0,￥1.00,￥2.00
2.2.1.4.2.4,CH3 & CH4 finish@ZKL,2019/1/19 上午8:30,2019/1/19 上午8:30,,,0%,,Off work,,,,,2019/1/11 上午7:00,,2.2.1.4.2.3,,,￥1.00,￥1.00
2.2.1.4.2.5,ZKL@CH5 & CH6,2019/1/19 上午8:30,2019/1/19 下午4:30,7 小时,1 天,0%,￥1.00,Off work,,,,,2019/1/11 上午7:00,,2.2.1.4.2.4,,0,￥1.00,￥2.00
2.2.1.4.2.6,CH5 & CH6 finish@ZKL,2019/1/19 下午4:30,2019/1/19 下午4:30,,,0%,,Off work,,,,,2018/12/15 上午7:00,,2.2.1.4.2.5,,,￥1.00,￥1.00
2.2.1.4.2.7,ZKL@CH8 & CH9,2019/1/19 下午4:30,2019/1/20 上午8:30,1 天,1 天,0%,￥1.00,Off work,,,,,2018/12/15 上午7:00,,2.2.1.4.2.6,,0,￥1.00,￥2.00
2.2.1.4.2.8,CH8 & CH9 finish@ZKL,2019/1/20 上午8:30,2019/1/20 上午8:30,,,0%,,Off work,,,,,2018/12/15 上午7:00,,2.2.1.4.2.7,,,￥1.00,￥1.00
2.2.1.4.2.9,ZKL@CH10,2019/1/20 上午8:30,2019/1/20 下午4:30,7 小时,1 天,0%,￥1.00,Off work,,,,,2018/12/15 下午10:00,,2.2.1.4.2.8,,0,￥1.00,￥2.00
2.2.1.4.2.10,CH10 finish@ZKL,2019/1/20 下午4:30,2019/1/20 下午4:30,,,0%,,Off work,,,,,2018/12/16 上午7:00,,2.2.1.4.2.9,,,￥1.00,￥1.00
2.2.1.4.2.11,完成xmind梳理@自控力,2019/1/20 下午4:30,2019/1/20 下午4:30,,,0%,,Off work,,,,,2018/12/16 上午7:00,,2.2.1.4.2.10,,,￥1.00,￥1.00
2.2.1.5,Thinking,2019/2/25 上午8:00,2019/2/25 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/10 上午8:00,,,,,￥1.00,￥1.00
2.2.1.5.1,思考的艺术,2019/2/25 上午8:00,2019/2/25 上午8:00,0 秒,0 秒,0%,,,,,,,2019/2/25 上午8:00,,,,,￥1.00,￥1.00
2.2.1.5.1.1,完成思考的艺术xmind的梳理输出,2019/2/25 上午8:00,2019/2/25 上午8:00,,,0%,,Off work,,,,,2018/12/31 上午7:00,,,,,￥1.00,￥1.00
2.2.1.6,Method,2019/1/8 上午7:00,2019/1/10 下午10:15,1 周 4 小时 15 分,1 天 4 小时,43%,,,,,,,2019/1/2 上午7:00,,,,,￥6.00,￥6.00
